industry_label,males,females,persons
"Agriculture, Forestry and Fishing, nfd",2217,1068,3286
"Agriculture, nfd",19033,8334,27368
"Nursery and Floriculture Production, nfd",83,67,145
Nursery Production (Under Cover),67,136,206
Nursery Production (Outdoors),4979,4555,9532
Turf Growing,839,250,1089
Floriculture Production (Under Cover),0,4,4
Floriculture Production (Outdoors),1268,1135,2406
"Mushroom and Vegetable Growing, nfd",96,67,162
Mushroom Growing,1153,1422,2580
Vegetable Growing (Under Cover),815,514,1327
Vegetable Growing (Outdoors),10130,6147,16273
"Fruit and Tree Nut Growing, nfd",2834,1377,4210
Grape Growing,4296,1713,6009
Kiwifruit Growing,47,23,70
Berry Fruit Growing,2777,2150,4925
Apple and Pear Growing,950,503,1452
Stone Fruit Growing,554,243,805
Citrus Fruit Growing,1611,919,2527
Olive Growing,294,193,489
Other Fruit and Tree Nut Growing,4945,2249,7197
"Sheep, Beef Cattle and Grain Farming, nfd",531,216,742
Sheep Farming (Specialised),12921,5356,18278
Beef Cattle Farming (Specialised),28843,15600,44450
Beef Cattle Feedlots (Specialised),720,368,1091
Sheep-Beef Cattle Farming,5308,2206,7521
Grain-Sheep or Grain-Beef Cattle Farming,13513,4762,18276
Rice Growing,0,3,5
Other Grain Growing,13964,4977,18945
"Other Crop Growing, nfd",7,0,10
Sugar Cane Growing,3332,884,4210
Cotton Growing,849,275,1121
Other Crop Growing nec,1323,530,1856
Dairy Cattle Farming,11479,5971,17445
"Poultry Farming, nfd",1243,493,1735
Poultry Farming (Meat),1395,719,2115
Poultry Farming (Eggs),2195,1714,3903
Deer Farming,15,16,27
"Other Livestock Farming, nfd",7,12,15
Horse Farming,1697,2020,3718
Pig Farming,1478,605,2084
Beekeeping,1179,460,1635
Other Livestock Farming nec,507,630,1136
"Aquaculture, nfd",719,251,976
Offshore Longline and Rack Aquaculture,1670,559,2227
Offshore Caged Aquaculture,924,346,1272
Onshore Aquaculture,687,230,912
"Forestry and Logging, nfd",142,27,175
Forestry,3064,788,3846
Logging,2318,304,2624
"Fishing, Hunting and Trapping, nfd",101,11,109
"Fishing, nfd",2371,557,2929
Rock Lobster and Crab Potting,820,203,1018
Prawn Fishing,281,64,345
Line Fishing,43,6,46
"Fish Trawling, Seining and Netting",48,9,63
Other Fishing,338,93,436
Hunting and Trapping,269,50,321
"Agriculture, Forestry and Fishing Support Services, nfd",34,24,61
Forestry Support Services,2366,1015,3383
"Agriculture and Fishing Support Services, nfd",495,211,704
Cotton Ginning,297,174,466
