classification_level,asced_level_code,level_name,broad_level_code,broad_level_name,narrow_level_code,narrow_level_name,detailed_level_code,detailed_level_name,data_source
broad,1,POSTGRADUATE DEGREE LEVEL,1,POSTGRADUATE DEGREE LEVEL,,,,,ASCED 2001
narrow,11,Doctoral Degree Level,1,POSTGRADUATE DEGREE LEVEL,11,Doctoral Degree Level,,,ASCED 2001
detailed,111,Higher Doctorate,1,POSTGRADUATE DEGREE LEVEL,11,Doctoral Degree Level,111,Higher Doctorate,ASCED 2001
detailed,112,Doctorate by Research,1,POSTGRADUATE DEGREE LEVEL,11,Doctoral Degree Level,112,Doctorate by Research,ASCED 2001
detailed,113,Doctorate by Coursework,1,POSTGRADUATE DEGREE LEVEL,11,Doctoral Degree Level,113,Doctorate by Coursework,ASCED 2001
detailed,114,Professional Specialist Qualification at Doctoral Degree Level,1,POSTGRADUATE DEGREE LEVEL,11,Doctoral Degree Level,114,Professional Specialist Qualification at Doctoral Degree Level,ASCED 2001
detailed,115,Statement of Attainment at Doctoral Degree Level,1,POSTGRADUATE DEGREE LEVEL,11,Doctoral Degree Level,115,Statement of Attainment at Doctoral Degree Level,ASCED 2001
detailed,116,Bridging and Enabling Course at Doctoral Degree Level,1,POSTGRADUATE DEGREE LEVEL,11,Doctoral Degree Level,116,Bridging and Enabling Course at Doctoral Degree Level,ASCED 2001
narrow,12,Master Degree Level,1,POSTGRADUATE DEGREE LEVEL,12,Master Degree Level,,,ASCED 2001
detailed,121,Master Degree by Research,1,POSTGRADUATE DEGREE LEVEL,12,Master Degree Level,121,Master Degree by Research,ASCED 2001
detailed,122,Master Degree by Coursework,1,POSTGRADUATE DEGREE LEVEL,12,Master Degree Level,122,Master Degree by Coursework,ASCED 2001
detailed,123,Professional Specialist Qualification at Master Degree Level,1,POSTGRADUATE DEGREE LEVEL,12,Master Degree Level,123,Professional Specialist Qualification at Master Degree Level,ASCED 2001
detailed,124,Statement of Attainment at Master Degree Level,1,POSTGRADUATE DEGREE LEVEL,12,Master Degree Level,124,Statement of Attainment at Master Degree Level,ASCED 2001
detailed,125,Bridging and Enabling Course at Master Degree Level,1,POSTGRADUATE DEGREE LEVEL,12,Master Degree Level,125,Bridging and Enabling Course at Master Degree Level,ASCED 2001
broad,2,GRADUATE DIPLOMA AND GRADUATE CERTIFICATE LEVEL,2,GRADUATE DIPLOMA AND GRADUATE CERTIFICATE LEVEL,,,,,ASCED 2001
narrow,21,Graduate Diploma Level,2,GRADUATE DIPLOMA AND GRADUATE CERTIFICATE LEVEL,21,Graduate Diploma Level,,,ASCED 2001
detailed,211,Graduate Diploma,2,GRADUATE DIPLOMA AND GRADUATE CERTIFICATE LEVEL,21,Graduate Diploma Level,211,Graduate Diploma,ASCED 2001
