cricos_course_code,course_name,course_level,field_rank,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,field_code,field_name,data_source
078241E,ACT Year 12 Certificate,Senior Secondary Certificate of Education,1,12,Mixed Field Programmes,1201,General Education Programmes,120101,General Primary and Secondary Education Programmes,CRICOS
091155E,Certificate IV in Mental Health,Certificate IV,1,09,Society and Culture,0905,Human Welfare Studies and Services,090501,Social Work,CRICOS
094149A,Certificate III in Hairdressing,Certificate III,1,11,"Food, Hospitality and Personal Services",1103,Personal Services,110303,Hairdressing,CRICOS
097541B,English for Study and Life (Elementary),Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
097543M,English for Study and Life (Pre-Intermediate),Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
097544K,English for Study and Life (Intermediate),Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
097545J,English for Study and Life (Upper-Intermediate),Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
097546G,English for Study and Life (Advanced),Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
097547G,English for Study and Life (Academic),Non AQF Award,1,09,Society and Culture,0915,Language and Literature,091501,ELICOS,CRICOS
104665E,Certificate IV in Building and Construction,Certificate IV,1,04,Architecture and Building,0403,Building,040303,Building Construction Management,CRICOS
105812B,Diploma of Graphic Design,Diploma,1,10,Creative Arts,1005,Graphic and Design Studies,100501,Graphic Arts and Design Studies,CRICOS
108479H,Certificate III in Information Technology,Certificate III,1,02,Information Technology,0203,Information Systems,020399,"Information Systems, n.e.c.",CRICOS
108480D,Diploma of Information Technology,Diploma,1,02,Information Technology,0203,Information Systems,020399,"Information Systems, n.e.c.",CRICOS
108481C,Certificate IV in Information Technology,Certificate IV,1,02,Information Technology,0203,Information Systems,020399,"Information Systems, n.e.c.",CRICOS
109721F,Certificate IV in Kitchen Management,Certificate IV,1,11,"Food, Hospitality and Personal Services",1101,Food and Hospitality,110109,Cookery,CRICOS
109752K,Certificate III in Patisserie,Certificate III,1,11,"Food, Hospitality and Personal Services",1101,Food and Hospitality,110107,Baking and Pastrymaking,CRICOS
109761J,Certificate III in Commercial Cookery,Certificate III,1,11,"Food, Hospitality and Personal Services",1101,Food and Hospitality,110109,Cookery,CRICOS
110026H,Certificate IV in Accounting and Bookkeeping,Certificate IV,1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
110030A,Certificate III in Accounts Administration,Certificate III,1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
110727A,Certificate III in Early Childhood Education and Care,Certificate III,1,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,CRICOS
111244A,Diploma of Visual Arts,Diploma,1,10,Creative Arts,1003,Visual Arts and Crafts,100399,"Visual Arts and Crafts, n.e.c.",CRICOS
111262K,Diploma of Early Childhood Education and Care,Diploma,1,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,CRICOS
112086B,Advanced Diploma of Graphic Design,Advanced Diploma,1,10,Creative Arts,1005,Graphic and Design Studies,100501,Graphic Arts and Design Studies,CRICOS
112087A,Diploma of Beauty Therapy,Diploma,1,11,"Food, Hospitality and Personal Services",1103,Personal Services,110301,Beauty Therapy,CRICOS
112089K,Certificate III in Hospitality,Certificate III,1,11,"Food, Hospitality and Personal Services",1101,Food and Hospitality,110101,Hospitality,CRICOS
112091E,Advanced Diploma of Accounting,Advanced Diploma,1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
112092D,Diploma of Accounting,Diploma,1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
112093C,Certificate IV in Beauty Therapy,Certificate IV,1,11,"Food, Hospitality and Personal Services",1103,Personal Services,110301,Beauty Therapy,CRICOS
112865H,Diploma of Nursing,Diploma,1,06,Health,0603,Nursing,060301,General Nursing,CRICOS
113462H,Diploma of Hospitality Management,Diploma,1,08,Management and Commerce,0803,Business and Management,080319,Hospitality Management,CRICOS
113905H,Diploma of Travel and Tourism Management,Diploma,1,08,Management and Commerce,0803,Business and Management,080323,Tourism Management,CRICOS
114025K,Certificate III in Individual Support,Certificate III,1,09,Society and Culture,0905,Human Welfare Studies and Services,090507,Care for the Aged,CRICOS
117647M,Course in Crystalline Silica Exposure Prevention,Non AQF Award,1,04,Architecture and Building,0403,Building,040399,"Building, n.e.c.",CRICOS
117648K,Course in Asbestos Awareness,Non AQF Award,1,04,Architecture and Building,0403,Building,040399,"Building, n.e.c.",CRICOS
117649J,Prepare to work safely in the construction industry,Vocational Short Course,1,04,Architecture and Building,0403,Building,040399,"Building, n.e.c.",CRICOS
118566D,Diploma of Early Childhood Education and Care,Diploma,1,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,CRICOS
119569D,Certificate III in Early Childhood Education and Care,Certificate III,1,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,CRICOS
120900K,Diploma of Community Services,Diploma,1,09,Society and Culture,0905,Human Welfare Studies and Services,090515,Welfare Studies,CRICOS
120925A,Certificate IV in Community Services,Certificate IV,1,09,Society and Culture,0905,Human Welfare Studies and Services,090515,Welfare Studies,CRICOS
001357G,Bachelor of Arts,Bachelor Degree,1,09,Society and Culture,0903,Studies in Human Society,090300,"Studies in Human Society, n.f.d.",CRICOS
001359E,Bachelor of Arts - Psychology,Bachelor Degree,1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
001362K,Bachelor of Economics,Bachelor Degree,1,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,CRICOS
001365G,Bachelor of Science,Bachelor Degree,1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019999,"Natural and Physical Sciences, n.e.c.",CRICOS
001371J,Bachelor of Arts with the degree of Bachelor of Laws,Bachelor Degree,1,09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",CRICOS
001371J,Bachelor of Arts with the degree of Bachelor of Laws,Bachelor Degree,2,09,Society and Culture,0909,Law,090900,"Law, n.f.d.",CRICOS
001396M,Master of Clinical Psychology,Masters Degree (Coursework),1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
001403F,Doctor of Philosophy (Arts),Doctoral Degree,1,09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",CRICOS
001404E,Doctor of Philosophy (Science and Engineering),Doctoral Degree,1,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",CRICOS
008653J,Study Abroad,Non AQF Award,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100138,Graduate Certificate of Education,Graduate Certificate,1,07,Education,0703,Curriculum and Education Studies,070300,"Curriculum and Education Studies, n.f.d",CRICOS
