occupation_label,males,females,persons
"Managers, nfd",36568,19688,56256
"Chief Executives, General Managers and Legislators, nfd",375,212,589
Chief Executives and Managing Directors,57172,18860,76029
General Managers,41740,20285,62025
Legislators,1265,1097,2369
"Farmers and Farm Managers, nfd",7183,2653,9835
Aquaculture Farmers,1439,289,1726
Crop Farmers,30060,10124,40183
Livestock Farmers,44742,21148,65890
Mixed Crop and Livestock Farmers,17257,5575,22836
"Specialist Managers, nfd",21506,14239,35743
"Advertising, Public Relations and Sales Managers",73894,60644,134533
"Business Administration Managers, nfd",2091,2949,5045
Corporate Services Managers,3869,5729,9594
Finance Managers,29748,29375,59125
Human Resource Managers,21018,34595,55611
Policy and Planning Managers,21289,30109,51391
Research and Development Managers,7406,7892,15299
"Construction, Distribution and Production Managers, nfd",1859,401,2253
Construction Managers,98395,10593,108988
Engineering Managers,19983,2809,22793
"Importers, Exporters and Wholesalers",10669,3754,14419
Manufacturers,11711,4165,15882
Production Managers,46152,11210,57358
"Supply, Distribution and Procurement Managers",30210,10374,40584
"Education, Health and Welfare Services Managers, nfd",343,734,1080
Child Care Centre Managers,1202,13394,14593
Health and Welfare Services Managers,8123,23764,31888
School Principals,8449,15878,24323
Other Education Managers,4296,7332,11631
ICT Managers,56939,17602,74540
"Miscellaneous Specialist Managers, nfd",123,46,176
Commissioned Officers (Management),9001,1934,10939
Senior Non-commissioned Defence Force Members,3387,644,4030
Other Specialist Managers,35815,28083,63891
"Hospitality, Retail and Service Managers, nfd",1478,1234,2712
"Accommodation and Hospitality Managers, nfd",648,551,1200
Cafe and Restaurant Managers,25563,30209,55772
Caravan Park and Camping Ground Managers,1667,1629,3302
Hotel and Motel Managers,10495,8293,18790
Licensed Club Managers,3130,2592,5727
Other Accommodation and Hospitality Managers,2819,4549,7365
Retail Managers,95063,99680,194743
"Miscellaneous Hospitality, Retail and Service Managers, nfd",417,286,705
"Amusement, Fitness and Sports Centre Managers",7395,6583,13971
Call or Contact Centre and Customer Service Managers,22955,20940,43898
Conference and Event Organisers,4754,15152,19904
Transport Services Managers,12788,3054,15840
"Other Hospitality, Retail and Service Managers",38898,19492,58395
Total Managers,993353,652412,1645769
"Professionals, nfd",18898,22255,41148
"Arts and Media Professionals, nfd",463,331,790
"Arts Professionals, nfd",1198,2278,3471
"Actors, Dancers and Other Entertainers",3003,3502,6514
Music Professionals,4518,2157,6675
Photographers,5707,6025,11734
Visual Arts and Crafts Professionals,2444,4345,6789
"Media Professionals, nfd",1111,1571,2682
"Artistic Directors, and Media Producers and Presenters",5647,4877,10518
"Authors, and Book and Script Editors",1647,3324,4965
"Film, Television, Radio and Stage Directors",8115,3461,11572
Journalists and Other Writers,8162,11778,19933
"Business, Human Resource and Marketing Professionals, nfd",2202,2618,4827
"Accountants, Auditors and Company Secretaries, nfd",309,262,568
Accountants,73623,84744,158366
"Auditors, Company Secretaries and Corporate Treasurers",12237,12448,24681
"Financial Brokers and Dealers, and Investment Advisers, nfd",613,443,1052
Financial Brokers,20284,11536,31819
Financial Dealers,12901,5842,18738
