anzsco_code,anzsco_title,osca_code,osca_title,mapping_type
111111,Chief Executive or Managing Director,121131,Chief Executive or Managing Director,full
111211,Corporate General Manager,121231,Corporate General Manager,full
111212,Defence Force Senior Officer,121232,Defence Force Senior Officer,full
111212,Defence Force Senior Officer,149231,Commissioned Defence Force Officer,partial
111311,Local Government Legislator,121331,Local Government Legislator,full
111312,Member of Parliament,121332,Member of Parliament,full
111399,Legislators nec,121399,Legislators nec,full
121111,Aquaculture Farmer,151331,Aquaculture Farmer,full
121111,Aquaculture Farmer,343131,Aquaculture Supervisor,partial
121211,Cotton Grower,151131,Cotton Grower,full
121211,Cotton Grower,343136,Senior Broadacre Crop Farm Worker,partial
121212,Flower Grower,151231,Flower Grower,full
121212,Flower Grower,343134,Horticultural Supervisor or Specialist,partial
121213,Fruit or Nut Grower,151232,Fruit Grower,partial
121213,Fruit or Nut Grower,151233,Nut Grower,full
121213,Fruit or Nut Grower,343134,Horticultural Supervisor or Specialist,partial
121214,"Grain, Oilseed or Pasture Grower / Field Crop Grower",151132,"Grain, Oilseed, Pulse or Pasture Grower",full
121214,"Grain, Oilseed or Pasture Grower / Field Crop Grower",343136,Senior Broadacre Crop Farm Worker,partial
121215,Grape Grower,151232,Fruit Grower,partial
121215,Grape Grower,151237,Wine Grape Grower,full
121215,Grape Grower,343137,Vineyard Supervisor,partial
121216,Mixed Crop Farmer,151299,Horticultural Crop Growers nec,partial
121216,Mixed Crop Farmer,151399,Mixed Production and Aquaculture Farmers nec,partial
121217,Sugar Cane Grower,151133,Sugar Cane Grower,full
121217,Sugar Cane Grower,343136,Senior Broadacre Crop Farm Worker,partial
121218,Turf Grower,151235,Turf Grower,full
121218,Turf Grower,343134,Horticultural Supervisor or Specialist,partial
121221,Vegetable Grower (Aus) / Market Gardener (NZ),151236,Vegetable Grower,full
121221,Vegetable Grower (Aus) / Market Gardener (NZ),343134,Horticultural Supervisor or Specialist,partial
121299,Crop Farmers nec,151199,Broadacre Crop Growers nec,full
121299,Crop Farmers nec,151234,Production Nursery Grower,full
121299,Crop Farmers nec,151299,Horticultural Crop Growers nec,partial
121299,Crop Farmers nec,343199,"Senior Aquaculture, Crop and Forestry Workers nec",partial
121311,Apiarist,152931,Apiarist,full
121312,Beef Cattle Farmer,152131,Beef Cattle Farmer,full
121312,Beef Cattle Farmer,343231,Senior Beef Cattle Station Worker,partial
121313,Dairy Cattle Farmer,152231,Dairy Cattle Farmer,full
121313,Dairy Cattle Farmer,343233,Senior Dairy Cattle Farm Worker,partial
121314,Deer Farmer,152999,Livestock Farmers nec,partial
121315,Goat Farmer,152932,Goat Farmer,full
121316,Horse Breeder,152933,Horse Breeder,full
121316,Horse Breeder,343234,Senior Horse Stable or Stud Worker,partial
121317,Mixed Livestock Farmer,152331,Mixed Cattle and Sheep Farmer,full
121317,Mixed Livestock Farmer,152999,Livestock Farmers nec,partial
121317,Mixed Livestock Farmer,343232,Senior Cattle and Sheep Farm Worker,partial
121318,Pig Farmer,152934,Pig Farmer,full
121318,Pig Farmer,343235,Senior Piggery Stockperson,partial
121321,Poultry Farmer,152935,Poultry Farmer,full
121321,Poultry Farmer,343299,Senior Livestock Farm Workers nec,partial
121322,Sheep Farmer,152431,Sheep Farmer,full
121322,Sheep Farmer,343236,Senior Sheep Farm Worker,partial
121399,Livestock Farmers nec,152999,Livestock Farmers nec,partial
121411,Mixed Crop and Livestock Farmer,151332,Broadacre Crop and Livestock Farmer,full
121411,Mixed Crop and Livestock Farmer,151399,Mixed Production and Aquaculture Farmers nec,partial
121411,Mixed Crop and Livestock Farmer,343135,Senior Broadacre Crop and Livestock Farm Worker,partial
131112,Sales and Marketing Manager,112132,Business Development Manager,full
131112,Sales and Marketing Manager,112133,Sales and Marketing Manager,full
131113,Advertising Manager,112131,Advertising Manager,full
131114,Public Relations Manager,112231,Communications Manager (Public Relations),full
132111,Corporate Services Manager,111131,Corporate Services Manager,full
132211,Finance Manager,111231,Finance Manager,full
132311,Human Resource Manager,111331,Human Resources Manager,full
132311,Human Resource Manager,111633,Work Health and Safety Manager,full
132411,Policy and Planning Manager,111431,Policy and Planning Manager,full
132511,Research and Development Manager,111531,Research and Development Manager,full
133111,Construction Project Manager,131131,Construction Project Manager,full
133112,Project Builder,131331,Project Builder,full
133211,Engineering Manager,131231,Engineering Manager,full
133311,Importer or Exporter,133131,Importer or Exporter,full
133312,Wholesaler,133132,Wholesaler,full
133411,Manufacturer,132131,Manufacturer,full
133511,Production Manager (Forestry),132231,Forest Manager,full
133512,Production Manager (Manufacturing),132232,Production Manager (Manufacturing),partial
133513,Production Manager (Mining),132233,Production Manager (Mining),full
133611,Supply and Distribution Manager,133331,Supply and Distribution Manager,full
133612,Procurement Manager,133231,Procurement Manager,full
134111,Child Care Centre Manager,141231,Children's Education and Care Service Director,partial
134211,Medical Administrator / Medical Superintendent,141333,Medical Administrator,full
134212,Nursing Clinical Director,141331,Aged Care Manager,partial
134212,Nursing Clinical Director,141332,Director of Nursing / Midwifery,full
134213,Primary Health Organisation Manager,141399,Health and Welfare Service Managers nec,partial
134214,Welfare Centre Manager,141335,Welfare Centre Manager,full
134299,Health and Welfare Services Managers nec,141331,Aged Care Manager,partial
134299,Health and Welfare Services Managers nec,141334,Paramedic Manager,full
134299,Health and Welfare Services Managers nec,141399,Health and Welfare Service Managers nec,partial
134311,School Principal,141131,Assistant School Principal,full
134311,School Principal,141132,School Principal,full
134411,Faculty Head,141431,Faculty Manager,full
134412,Regional Education Manager,141432,Regional Education Manager,full
134499,Education Managers nec,141499,Education Managers nec,full
135111,Chief Information Officer,113131,Chief Information Officer,full
135111,Chief Information Officer,113132,Chief Information Security Officer,full
135112,ICT Project Manager,113232,ICT Project Manager,full
135199,ICT Managers nec,113231,ICT Operations Manager,full
135199,ICT Managers nec,113233,ICT Service Delivery Manager,full
135199,ICT Managers nec,113299,ICT Managers nec,full
