classification_level,asced_field_code,field_name,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,detailed_field_code,detailed_field_name,data_source
broad,01,NATURAL AND PHYSICAL SCIENCES,01,NATURAL AND PHYSICAL SCIENCES,,,,,ASCED 2001
narrow,0101,Mathematical Sciences,01,NATURAL AND PHYSICAL SCIENCES,0101,Mathematical Sciences,,,ASCED 2001
detailed,010101,Mathematics,01,NATURAL AND PHYSICAL SCIENCES,0101,Mathematical Sciences,010101,Mathematics,ASCED 2001
detailed,010103,Statistics,01,NATURAL AND PHYSICAL SCIENCES,0101,Mathematical Sciences,010103,Statistics,ASCED 2001
detailed,010199,"Mathematical Sciences, n.e.c.",01,NATURAL AND PHYSICAL SCIENCES,0101,Mathematical Sciences,010199,"Mathematical Sciences, n.e.c.",ASCED 2001
narrow,0103,Physics and Astronomy,01,NATURAL AND PHYSICAL SCIENCES,0103,Physics and Astronomy,,,ASCED 2001
detailed,010301,Physics,01,NATURAL AND PHYSICAL SCIENCES,0103,Physics and Astronomy,010301,Physics,ASCED 2001
detailed,010303,Astronomy,01,NATURAL AND PHYSICAL SCIENCES,0103,Physics and Astronomy,010303,Astronomy,ASCED 2001
narrow,0105,Chemical Sciences,01,NATURAL AND PHYSICAL SCIENCES,0105,Chemical Sciences,,,ASCED 2001
detailed,010501,Organic Chemistry,01,NATURAL AND PHYSICAL SCIENCES,0105,Chemical Sciences,010501,Organic Chemistry,ASCED 2001
detailed,010503,Inorganic Chemistry,01,NATURAL AND PHYSICAL SCIENCES,0105,Chemical Sciences,010503,Inorganic Chemistry,ASCED 2001
detailed,010599,"Chemical Sciences, n.e.c.",01,NATURAL AND PHYSICAL SCIENCES,0105,Chemical Sciences,010599,"Chemical Sciences, n.e.c.",ASCED 2001
narrow,0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,,,ASCED 2001
detailed,010701,Atmospheric Sciences,01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,010701,Atmospheric Sciences,ASCED 2001
detailed,010703,Geology,01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,010703,Geology,ASCED 2001
detailed,010705,Geophysics,01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,010705,Geophysics,ASCED 2001
detailed,010707,Geochemistry,01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,010707,Geochemistry,ASCED 2001
detailed,010709,Soil Science,01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,010709,Soil Science,ASCED 2001
detailed,010711,Hydrology,01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,010711,Hydrology,ASCED 2001
detailed,010713,Oceanography,01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,010713,Oceanography,ASCED 2001
detailed,010799,"Earth Sciences, n.e.c.",01,NATURAL AND PHYSICAL SCIENCES,0107,Earth Sciences,010799,"Earth Sciences, n.e.c.",ASCED 2001
narrow,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,,,ASCED 2001
detailed,010901,Biochemistry and Cell Biology,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010901,Biochemistry and Cell Biology,ASCED 2001
detailed,010903,Botany,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010903,Botany,ASCED 2001
detailed,010905,Ecology and Evolution,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010905,Ecology and Evolution,ASCED 2001
detailed,010907,Marine Science,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010907,Marine Science,ASCED 2001
detailed,010909,Genetics,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010909,Genetics,ASCED 2001
detailed,010911,Microbiology,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010911,Microbiology,ASCED 2001
detailed,010913,Human Biology,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010913,Human Biology,ASCED 2001
detailed,010915,Zoology,01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010915,Zoology,ASCED 2001
detailed,010999,"Biological Sciences, n.e.c.",01,NATURAL AND PHYSICAL SCIENCES,0109,Biological Sciences,010999,"Biological Sciences, n.e.c.",ASCED 2001
narrow,0199,Other Natural and Physical Sciences,01,NATURAL AND PHYSICAL SCIENCES,0199,Other Natural and Physical Sciences,,,ASCED 2001
detailed,019901,Medical Science,01,NATURAL AND PHYSICAL SCIENCES,0199,Other Natural and Physical Sciences,019901,Medical Science,ASCED 2001
detailed,019903,Forensic Science,01,NATURAL AND PHYSICAL SCIENCES,0199,Other Natural and Physical Sciences,019903,Forensic Science,ASCED 2001
detailed,019905,Food Science and Biotechnology,01,NATURAL AND PHYSICAL SCIENCES,0199,Other Natural and Physical Sciences,019905,Food Science and Biotechnology,ASCED 2001
detailed,019907,Pharmacology,01,NATURAL AND PHYSICAL SCIENCES,0199,Other Natural and Physical Sciences,019907,Pharmacology,ASCED 2001
detailed,019909,Laboratory Technology,01,NATURAL AND PHYSICAL SCIENCES,0199,Other Natural and Physical Sciences,019909,Laboratory Technology,ASCED 2001
detailed,019999,"Natural and Physical Sciences, n.e.c.",01,NATURAL AND PHYSICAL SCIENCES,0199,Other Natural and Physical Sciences,019999,"Natural and Physical Sciences, n.e.c.",ASCED 2001
broad,02,INFORMATION TECHNOLOGY,02,INFORMATION TECHNOLOGY,,,,,ASCED 2001
narrow,0201,Computer Science,02,INFORMATION TECHNOLOGY,0201,Computer Science,,,ASCED 2001
detailed,020101,Formal Language Theory,02,INFORMATION TECHNOLOGY,0201,Computer Science,020101,Formal Language Theory,ASCED 2001
detailed,020103,Programming,02,INFORMATION TECHNOLOGY,0201,Computer Science,020103,Programming,ASCED 2001
detailed,020105,Computational Theory,02,INFORMATION TECHNOLOGY,0201,Computer Science,020105,Computational Theory,ASCED 2001
