metric,value
anzsco_master_rows,1236
anzsco_4digit_rows,358
anzsco_6digit_rows,878
osca_6digit_rows,1157
anzsco6_mapping_coverage_count,878
anzsco6_mapping_coverage_pct,100.0
projection_anzsco4_coverage_count,358
projection_anzsco4_coverage_pct,100.0
vacancy_aust_anzsco4_coverage_count,351
vacancy_aust_anzsco4_coverage_pct,98.04
anzsco4_missing_median_weekly_earnings,62
anzsco4_missing_annual_employment_growth,2
training_pathway_rows,5352
onet_role_profile_rows,923
onet_essential_skill_rows,9100
onet_transferable_skill_rows,22750
onet_knowledge_rows,29965
onet_ability_rows,47320
onet_software_rows,31821
onet_task_rows,18838
onet_emerging_task_rows,338
cricos_active_course_rows,25978
cricos_unique_degree_course_options,10383
cricos_degree_level_options,20
cricos_course_major_link_rows,27783
asced_level_of_education_rows,88
asced_field_of_education_rows,439
asced_major_option_rows,356
