onet_soc_code,title,job_zone,top_education,top_essential_skills,top_transferable_skills,top_knowledge,top_abilities,hot_technologies,in_demand_technologies,top_career_interests,top_specific_interest_areas,top_tasks,data_source
11-1011.00,Chief Executives,5,Master's Degree,Critical Thinking; Speaking; Reading Comprehension; Writing; Active Listening; Monitoring,Judgment and Decision Making; Complex Problem Solving; Coordination; Management of Financial Resources; Management of Personnel Resources; Systems Evaluation,Administration and Management; Personnel and Human Resources; English Language; Customer and Personal Service; Economics and Accounting; Public Safety and Security,Oral Comprehension; Oral Expression; Speech Clarity; Written Comprehension; Deductive Reasoning; Written Expression,Adobe Acrobat; Atlassian JIRA; Extensible markup language XML; Intuit QuickBooks; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft Word; Oracle PeopleSoft; PHP; SAP software; Structured query language SQL,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint,Enterprising; Second Interest High-Point; First Interest High-Point,Accounting; Public Speaking; Finance; Business Initiatives; Management/Administration,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.; Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.; Prepare budgets for approval, including those for funding or implementation of programs.; Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.; Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",O*NET
11-1011.03,Chief Sustainability Officers,5,Master's Degree,Critical Thinking; Writing; Active Listening; Reading Comprehension; Speaking; Active Learning,Complex Problem Solving; Judgment and Decision Making; Persuasion; Social Perceptiveness; Systems Analysis; Systems Evaluation,English Language; Administration and Management; Law and Government; Communications and Media; Building and Construction; Customer and Personal Service,Written Expression; Oral Comprehension; Oral Expression; Speech Clarity; Speech Recognition; Written Comprehension,Adobe Acrobat; Adobe Photoshop; Facebook; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft Word; Salesforce software; SAP software; Tableau,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint,Enterprising; Third Interest High-Point; First Interest High-Point,,"Monitor and evaluate effectiveness of sustainability programs.; Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.; Develop, or oversee the development of, sustainability evaluation or monitoring systems.; Supervise employees or volunteers working on sustainability projects.; Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",O*NET
11-1021.00,General and Operations Managers,4,High School Diploma or the equivalent (such as a GED),Active Listening; Monitoring; Reading Comprehension; Speaking; Critical Thinking; Active Learning,Coordination; Management of Personnel Resources; Social Perceptiveness; Complex Problem Solving; Judgment and Decision Making; Persuasion,Administration and Management; Customer and Personal Service; English Language; Production and Processing; Mathematics; Personnel and Human Resources,Oral Comprehension; Oral Expression; Written Comprehension; Written Expression; Deductive Reasoning; Problem Sensitivity,Adobe Acrobat; Adobe Creative Cloud software; Adobe Photoshop; Amazon Web Services AWS software; Apache Hadoop; Apple macOS; Atlassian Confluence; Atlassian JIRA; Autodesk AutoCAD; Extensible markup language XML; Facebook; Google Analytics; Google Docs; HubSpot software; IBM SPSS Statistics; Intuit QuickBooks; Kronos Workforce Timekeeper; Marketo Marketing Automation; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft SQL Server; Microsoft Visio; Microsoft Visual Basic; Microsoft Visual Basic for Applications VBA; Microsoft Windows; Microsoft Word; Mozilla Firefox; Oracle Database; Oracle PeopleSoft; Oracle Primavera Enterprise Project Portfolio Management; PostgreSQL; Puppet; R; Salesforce software; SAP software; SAS; Shell script; Slack; Splunk Enterprise; Structured query language SQL; Tableau; Teradata Database; The MathWorks MATLAB; Yardi software,Microsoft Excel; Microsoft Office software; Microsoft PowerPoint,Enterprising; Second Interest High-Point; Conventional,Human Resources; Business Initiatives; Management/Administration; Mechanics/Electronics; Construction/Woodwork,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.; Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.; Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.; Direct administrative activities directly related to making products or providing services.; Set prices or credit terms for goods or services, based on forecasts of customer demand.",O*NET
11-1031.00,Legislators,4,,,,,,Adobe Acrobat; Cisco Webex; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft SharePoint; Microsoft SQL Server; Microsoft Visual Basic; Microsoft Word; Structured query language SQL,,Third Interest High-Point; Enterprising; First Interest High-Point,Management/Administration; Law; Public Speaking; Politics; Mechanics/Electronics,"Analyze and understand the local and national implications of proposed legislation.; Appoint nominees to leadership posts, or approve such appointments.; Confer with colleagues to formulate positions and strategies pertaining to pending issues.; Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.; Develop expertise in subject matters related to committee assignments.",O*NET
11-2011.00,Advertising and Promotions Managers,4,Bachelor's Degree,Active Listening; Speaking; Critical Thinking; Reading Comprehension; Writing; Monitoring,Judgment and Decision Making; Social Perceptiveness; Complex Problem Solving; Coordination; Time Management; Negotiation,Sales and Marketing; English Language; Communications and Media; Administration and Management; Customer and Personal Service; Administrative,Oral Expression; Oral Comprehension; Originality; Written Comprehension; Written Expression; Speech Clarity,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Extensible markup language XML; Facebook; Google Analytics; HubSpot software; Hypertext markup language HTML; JavaScript; Marketo Marketing Automation; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft SQL Server; Microsoft Windows; Microsoft Word; Salesforce software; SAP software; Tableau; WordPress,Microsoft Excel; Microsoft Office software; Microsoft PowerPoint,Enterprising; Second Interest High-Point; First Interest High-Point,Sales; Media; Business Initiatives; Management/Administration; Marketing/Advertising,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.; Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.; Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.; Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.; Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",O*NET
11-2021.00,Marketing Managers,4,Bachelor's Degree,Active Listening; Speaking; Active Learning; Critical Thinking; Monitoring; Reading Comprehension,Complex Problem Solving; Judgment and Decision Making; Persuasion; Systems Evaluation; Coordination; Negotiation,Sales and Marketing; English Language; Customer and Personal Service; Communications and Media; Administration and Management; Education and Training,Fluency of Ideas; Oral Expression; Oral Comprehension; Written Comprehension; Written Expression; Deductive Reasoning,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Amazon Redshift; Amazon Web Services AWS software; Apache Cassandra; Apache Hadoop; Apache Hive; Apple macOS; Asana; Atlassian Confluence; Atlassian JIRA; C; Canva; Cascading style sheets CSS; Elasticsearch; Extensible markup language XML; Facebook; Figma; GitHub; Google Analytics; Google Docs; Google Looker Analytics; HubSpot software; Hypertext markup language HTML; IBM SPSS Statistics; Intuit QuickBooks; JavaScript; Marketo Marketing Automation; Microsoft Access; Microsoft Azure software; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft SQL Server; Microsoft Teams; Microsoft Visio; Microsoft Visual Basic; Microsoft Visual Basic for Applications VBA; Microsoft Word; MySQL; NoSQL; Oracle Database; Oracle PeopleSoft; Oracle PL/SQL; PHP; Python; R; Ruby; Salesforce software; SAP software; SAS; Slack; Splunk Enterprise; Structured query language SQL; Swift; Tableau; Teradata Database; The MathWorks MATLAB; TikTok; WordPress; Yardi software,Atlassian JIRA; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Salesforce software; Structured query language SQL,Enterprising; Second Interest High-Point; First Interest High-Point,Public Speaking; Sales; Business Initiatives; Management/Administration; Marketing/Advertising,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.; Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.; Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.; Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.; Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",O*NET
11-2022.00,Sales Managers,4,Bachelor's Degree,Active Listening; Speaking; Critical Thinking; Monitoring; Reading Comprehension; Active Learning,Negotiation; Judgment and Decision Making; Management of Personnel Resources; Persuasion; Social Perceptiveness; Complex Problem Solving,Sales and Marketing; Customer and Personal Service; English Language; Administration and Management; Personnel and Human Resources; Computers and Electronics,Oral Comprehension; Oral Expression; Written Comprehension; Written Expression; Deductive Reasoning; Inductive Reasoning,Adobe Acrobat; Adobe Creative Cloud software; Bentley MicroStation; Eclipse IDE; Facebook; Google Analytics; Google Docs; HubSpot software; Hypertext markup language HTML; IBM SPSS Statistics; Marketo Marketing Automation; Microsoft Access; Microsoft Azure software; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft SQL Server; Microsoft Teams; Microsoft Visio; Microsoft Visual Basic; Microsoft Visual Basic for Applications VBA; Microsoft Windows; Microsoft Word; Oracle Database; Oracle PeopleSoft; Oracle Primavera Enterprise Project Portfolio Management; R; Salesforce software; SAP software; SAS; Splunk Enterprise; Structured query language SQL; Tableau; Teradata Database; Yardi software; Zoom,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Salesforce software,Enterprising; Second Interest High-Point; Conventional,Marketing/Advertising; Public Speaking; Business Initiatives; Management/Administration; Sales,"Oversee regional and local sales managers and their staffs.; Resolve customer complaints regarding sales and service.; Monitor customer preferences to determine focus of sales efforts.; Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.; Review operational records and reports to project sales and determine profitability.",O*NET
11-2032.00,Public Relations Managers,4,Bachelor's Degree,Speaking; Active Listening; Reading Comprehension; Writing; Critical Thinking; Active Learning,Social Perceptiveness; Complex Problem Solving; Persuasion; Coordination; Judgment and Decision Making; Service Orientation,Communications and Media; English Language; Administration and Management; Sales and Marketing; Customer and Personal Service; Administrative,Oral Expression; Oral Comprehension; Written Comprehension; Written Expression; Fluency of Ideas; Problem Sensitivity,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Canva; Facebook; Google Analytics; Google Docs; Google Workspace software; HubSpot software; Hypertext markup language HTML; Marketo Marketing Automation; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft Word; Salesforce software; Slack; Teradata Database; TikTok; WordPress; Yardi software; Zoom,Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Salesforce software,Enterprising; Second Interest High-Point; First Interest High-Point,Politics; Media; Business Initiatives; Public Speaking; Management/Administration,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.; Assign, supervise, and review the activities of public relations staff.; Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.; Develop, implement, or maintain crisis communication plans.; Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",O*NET
11-2033.00,Fundraising Managers,4,Master's Degree,Critical Thinking; Speaking; Active Listening; Reading Comprehension; Writing; Active Learning,Persuasion; Social Perceptiveness; Coordination; Judgment and Decision Making; Complex Problem Solving; Time Management,Administration and Management; Customer and Personal Service; Administrative; English Language; Sales and Marketing; Economics and Accounting,Oral Comprehension; Oral Expression; Deductive Reasoning; Speech Clarity; Written Comprehension; Written Expression,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Facebook; Google Analytics; Google Docs; HubSpot software; Hypertext markup language HTML; Marketo Marketing Automation; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft Word; Salesforce software; Slack; Teradata Database; Yardi software,Blackbaud The Raiser's Edge; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word; Salesforce software,Enterprising; Second Interest High-Point; First Interest High-Point,Marketing/Advertising; Sales; Business Initiatives; Public Speaking; Management/Administration,"Develop strategies to encourage new or increased contributions.; Manage fundraising budgets.; Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.; Develop fundraising activity plans that maximize participation or contributions and minimize costs.; Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",O*NET
11-3012.00,Administrative Services Managers,3,High School Diploma or the equivalent (such as a GED),Active Listening; Reading Comprehension; Speaking; Critical Thinking; Writing; Monitoring,Time Management; Coordination; Negotiation; Management of Personnel Resources; Complex Problem Solving; Judgment and Decision Making,Customer and Personal Service; Administration and Management; English Language; Administrative; Computers and Electronics; Personnel and Human Resources,Oral Comprehension; Oral Expression; Written Comprehension; Written Expression; Deductive Reasoning; Near Vision,Adobe Acrobat; Atlassian JIRA; Autodesk AutoCAD; Google Docs; IBM SPSS Statistics; Intuit QuickBooks; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft Visio; Microsoft Word; Oracle PeopleSoft; Oracle Primavera Enterprise Project Portfolio Management; R; SAP software; SAS; Teradata Database; Yardi software,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,Enterprising; Conventional; Second Interest High-Point,Human Resources; Office Work; Management/Administration; Mechanics/Electronics; Construction/Woodwork,"Plan, administer, and control budgets for contracts, equipment, and supplies.; Hire and terminate clerical and administrative personnel.; Direct or coordinate the supportive services department of a business, agency, or organization.; Prepare and review operational reports and schedules to ensure accuracy and efficiency.; Set goals and deadlines for the department.",O*NET
