osca_code,occupation,alternative_titles,specialisations,lead_statement,registration_or_licensing,skill_level,main_tasks,mapped_anzsco_codes,mapped_anzsco_titles,mapping_types,qualification_count
111131,Corporate Services Manager,Business Services Manager,,"Plans, organises, directs, controls and coordinates the overall administration of an organisation.",,1,"Provides high level administrative, strategic planning and operational support, research and advice to senior management on administrative matters such as staff management, financial planning, facility management and information services; Develops the organisation's administrative, financial, physical and staff resources; Implements administrative, financial and operational procedural statements and guidelines for use by staff in the organisation; Analyses complex resource management issues and initiatives that affect the organisation, and prepares associated reports, correspondence and submissions; Provides information and support for the preparation of financial reports and budgets; Leads, manages and develops administrative staff to ensure smooth business operations and the provision of accurate and timely information; Represents the organisation in negotiations and at conventions, seminars, public hearings and forums, and promotes existing and new programs and policies",132111,Corporate Services Manager,full,12
111231,Finance Manager,Chief Financial Officer; Finance Director; Financial Controller,Financial Administrator,"Plans, organises, directs, controls and coordinates the financial and accounting activities within an organisation.",,1,"Determines, implements, monitors, reviews and evaluates budgetary and accounting strategies, policies and plans in consultation with other managers; Provides financial information and interprets the implications for business performance and funding needs; Coordinates the development, implementation and monitoring of accounting systems; Directs the preparation of financial reports that summarise and forecast an organisation's financial position, such as income statements and balance sheets, and analyses future earnings and income; Advises on investment strategies, sources of funds, and the distribution of earnings; Delivers long-range profit forecasts, budgeting and financial reports; Ensures compliance with financial legislation and standards",132211,Finance Manager,full,9
111331,Human Resources Manager,HR Manager; People and Culture Manager,Employee Relations Manager; Training and Development Manager,"Plans, organises, directs, controls and coordinates the human resource and workplace relations activities within an organisation.",,1,"Determines, implements, monitors, reviews and evaluates human resource management strategies, policies and plans; Advises and assists other managers in applying sound recruitment and selection practices, and appropriate induction, training and development programs; Develops and implements performance management systems to appraise and improve individual and team performance; Represents the organisation in negotiations with unions and employees to determine remuneration and other conditions of employment; Develops equal employment opportunity programs, and ensures compliance with related statutory requirements; Oversees the application of redundancy and other employee retrenchment policies; Monitors employment costs and productivity levels; May train and advise other managers in personnel and workplace relations matters",132311,Human Resource Manager,full,5
111431,Policy and Planning Manager,Public Policy Manager,Strategic Planning Manager,"Plans, organises, directs, controls and coordinates policy advice and strategic planning within an organisation.",,1,"Develops, implements and monitors strategic and business planning activities, organisational programs, policies, processes, systems and procedures to achieve goals, objectives and work standards; Develops, implements, administers and participates in policy research and analysis; Coordinates the implementation of policies and practices; Communicates organisational policies and procedures; Establishes activity measures and measurements of accountability; Oversees and participates in the development of policy documents and reports; Consults with, and provides expert advice to, government officials and board members on policy, program and legislative issues; Represents the organisation in negotiations and at conventions, seminars, public hearings and forums convened to discuss policy issues; Undertakes short-term and long-term business planning as part of the managerial process; Plans for uncertain future events",132411,Policy and Planning Manager,full,6
111531,Research and Development Manager,R & D Manager,,"Plans, organises, directs, controls and coordinates research and development activities within an organisation.",,1,"Develops and implements research project strategies, priorities and targets to support commercial and policy developments; Leads major research projects and coordinates activities of other research workers; Assesses the benefits and monitors the costs and effectiveness of research and development activities; Interprets results of research projects, and recommends associated product and service development innovations; Provides advice on research and development options available to the organisation; Monitors leading-edge developments in relevant disciplines and assesses implications for the organisation; May publish results of significant research projects",132511,Research and Development Manager,full,4
111631,Quality Assurance Manager,,,"Plans, organises, directs, controls and coordinates the deployment of quality systems and certification processes within an organisation.",,1,"Liaises with technical, production and operational staff and management to ensure maximum quality outputs; Updates and issues product specifications; Oversees the activity of the quality assurance department and team in developing, implementing and maintaining processes and systems designed to ensure the quality and safety of the company's products; Trains staff to uphold the highest quality standards; Prepares for audits, reporting and quality improvement initiatives",139914,Quality Assurance Manager,full,11
111632,Regulatory Affairs Manager,,,"Plans, organises, directs, controls, coordinates and promotes adherence to regulatory frameworks and strategies within an organisation. Monitors regulatory environment and enables compliance.",,1,"Develops and monitors regulatory policies, procedures and strategies; Prepares, reviews and submits regulatory documents and applications to regulatory agencies; Provides regulatory guidance, and coordinates with other departments within an organisation to ensure that products and services are compliant with relevant regulations; Manages regulatory activities such as audits, regulatory agency inspections or product recalls; Monitors changes in the regulatory environment to determine potential impacts on organisational processes",139914,Quality Assurance Manager,full,0
111633,Work Health and Safety Manager,Occupational Health and Safety Manager; WHS Manager,,"Leads the development and implementation of work health and safety programs, and ensures compliance with related statutory requirements.",,1,"Manages the operations of the work health and safety business unit; Manages work health and safety budgets; Manages organisational response to any injury and compliance investigations; Sets, monitors, reviews and evaluates work health and safety management strategies, policies and plans; Oversees the organisation's work health and safety policies and practices to ensure compliance with legal requirements; Advocates for work health and safety in organisational policy",132311,Human Resource Manager,full,6
112131,Advertising Manager,,,"Plans, organises, directs, controls and coordinates advertising activities within an organisation.",,1,"Leads a team of Advertising Specialists; Determines the nature of advertising required and the style of presentation; Selects and manages resources needed to complete advertising projects; Allocates assignments and appraises work for publication; Manages the ongoing review of advertising staff, resources and content; May select and liaise with advertising agencies",131113,Advertising Manager,full,4
112132,Business Development Manager,,,"Plans, organises, directs, controls and coordinates business development and strategic partnership activities within an organisation and externally. Identifies and generates new business opportunities to further improve market share and awareness by gaining an understanding of customers' needs, and promoting goods and services to these customers. May manage some key customer accounts.",,1,"Conceptualises business plans and sales strategies; Implements market expansion and new market plans for business growth by identifying and mapping business strengths and customer needs; Drives business growth by developing networks to attract new clients; Researches new market opportunities, overseeing growth projects, making sales projections and forecasting revenue; Manages and nurtures relationships with existing customers; Researches prospects, cold calling potential customers and responding to incoming leads to increase client base; Writes business proposals for potential customers; Negotiates, drafts and reviews contracts",131112,Sales and Marketing Manager,full,17
112133,Sales and Marketing Manager,,,"Plans, organises, directs, controls and coordinates sales and marketing activities within an organisation and externally.",,1,"Directs the development of sales strategies and setting of sales targets in order to maximise an organisation's sales and customer loyalty; Directs and evaluates marketing strategies; Establishes distribution networks for products and services, and initiates market research studies; Establishes organisational policies and procedures in relation to sales and marketing; Conducts regular data analysis and measures campaign performance against predefined metrics; Leads sales teams in building relationships with clients and manages the negotiation of sales contracts; Assesses the marketing potential of new and existing store locations; Determines price schedules and discount rates",131112,Sales and Marketing Manager,full,4
112231,Communications Manager (Public Relations),Corporate Affairs Manager; Public Affairs Manager; Public Relations Manager,Community Relations Manager; External Relations Manager; Government Relations Manager; Media Relations Manager,"Plans, organises, directs, controls and coordinates public relations activities within an organisation.",,1,"Plans, develops, directs and coordinates communication strategies to best represent the employer's interests; Creates and manages publication production timelines; Oversees reputation management through internal communications, government relations, media relations and social media management; Stays informed of changes in media by assessing web, email and social media analytics to understand opportunities and barriers; Liaises with, supports and manages public relations teams to create press releases, advertising and promotional materials; Organises and manages events to promote key messages",131114,Public Relations Manager,full,8
113131,Chief Information Officer,Chief Technology Officer,,"Plans, organises, directs, controls and coordinates the ICT strategies, plans and operations of an organisation to ensure the ICT infrastructure supports the organisation's overall operations and priorities.",,1,"Analyses information needs and specifies technology to meet those needs; Formulates and directs ICT strategies, and aligns ICT strategies with business objectives; Oversees ICT infrastructure, ensuring optimal performance and security; Assesses suitability of current ICT and data systems and processes, and oversees upgrades and maintenance; Evaluates and manages risks related to ICT infrastructure, data security and other related areas; Establishes business continuity and disaster recovery plans to minimise the impact and duration of disruptions to operations and ICT resources",135111,Chief Information Officer,full,1
113132,Chief Information Security Officer,,,"Plans, organises, directs, controls and reviews the cyber security strategies, plans and operations in an organisation to ensure compliance with cyber security policy, standards, regulations and legislation.",,1,"Formulates cyber security frameworks to secure an organisation's data and technology systems from threats; Aligns cyber security initiatives with business objectives; Reports on the cyber security risk profile, status of systems, security risks and security incidents; Translates information security risks into operational risks; Oversees an organisation's response to cyber security incidents, including crisis management; Contributes to business continuity and disaster recovery plans related to cyber security",135111,Chief Information Officer,full,0
