industry,sector_rank,sector,employed
"Agriculture, Forestry and Fishing",1,"Sheep, Beef Cattle and Grain Farming",121100
"Agriculture, Forestry and Fishing",2,Fruit and Tree Nut Growing,24600
"Agriculture, Forestry and Fishing",3,Agriculture and Fishing Support Services,23400
"Agriculture, Forestry and Fishing",4,Mushroom and Vegetable Growing,15700
"Agriculture, Forestry and Fishing",5,Nursery and Floriculture Production,13400
"Agriculture, Forestry and Fishing",6,Dairy Cattle Farming,10600
"Agriculture, Forestry and Fishing",7,Other Livestock Farming,9500
"Agriculture, Forestry and Fishing",8,Other Crop Growing,7100
"Agriculture, Forestry and Fishing",9,Poultry Farming,6600
"Agriculture, Forestry and Fishing",10,Forestry and Logging,6000
"Agriculture, Forestry and Fishing",11,Aquaculture,5300
"Agriculture, Forestry and Fishing",12,Forestry Support Services,4000
"Agriculture, Forestry and Fishing",13,Fishing,3700
"Agriculture, Forestry and Fishing",14,Hunting and Trapping,800
"Agriculture, Forestry and Fishing",15,Deer Farming,100
Mining,1,Metal Ore Mining,134100
Mining,2,Other Mining Support Services,51600
Mining,3,Coal Mining,45900
Mining,4,Exploration,25700
Mining,5,Oil and Gas Extraction,24100
Mining,6,Other Non-Metallic Mineral Mining and Quarrying,9500
Mining,7,Construction Material Mining,5200
Manufacturing,1,Bakery Product Manufacturing,63200
Manufacturing,2,Meat and Meat Product Manufacturing,46400
Manufacturing,3,Furniture Manufacturing,40800
Manufacturing,4,Other Manufacturing,38000
Manufacturing,5,Motor Vehicle and Motor Vehicle Part Manufacturing,37900
Manufacturing,6,Other Transport Equipment Manufacturing,31900
Manufacturing,7,Structural Metal Product Manufacturing,29700
Manufacturing,8,Beverage Manufacturing,29300
Manufacturing,9,Other Fabricated Metal Product Manufacturing,29100
Manufacturing,10,Other Wood Product Manufacturing,26400
Manufacturing,11,Pharmaceutical and Medicinal Product Manufacturing,26200
Manufacturing,12,Professional and Scientific Equipment Manufacturing,25700
Manufacturing,13,Other Machinery and Equipment Manufacturing,24300
Manufacturing,14,Basic Ferrous Metal Manufacturing,23800
Manufacturing,15,Other Food Product Manufacturing,23500
Manufacturing,16,Specialised Machinery and Equipment Manufacturing,23400
Manufacturing,17,Polymer Product Manufacturing,22900
Manufacturing,18,Printing and Printing Support Services,22700
Manufacturing,19,Basic Non-Ferrous Metal Manufacturing,20000
Manufacturing,20,Dairy Product Manufacturing,17700
Manufacturing,21,Electrical Equipment Manufacturing,17700
Manufacturing,22,Computer and Electronic Equipment Manufacturing,17000
Manufacturing,23,Clothing and Footwear Manufacturing,15500
Manufacturing,24,Textile Product Manufacturing,12000
Manufacturing,25,"Cement, Lime, Plaster and Concrete Product Manufacturing",11500
Manufacturing,26,Metal Container Manufacturing,9900
Manufacturing,27,Sugar and Confectionery Manufacturing,9600
Manufacturing,28,Log Sawmilling and Timber Dressing,9300
Manufacturing,29,Other Non-Metallic Mineral Product Manufacturing,9100
Manufacturing,30,Converted Paper Product Manufacturing,8400
Manufacturing,31,Basic Non-Ferrous Metal Product Manufacturing,7900
Manufacturing,32,Glass and Glass Product Manufacturing,7500
Manufacturing,33,Cleaning Compound and Toiletry Preparation Manufacturing,6800
Manufacturing,34,Petroleum and Coal Product Manufacturing,6500
Manufacturing,35,Grain Mill and Cereal Product Manufacturing,6300
Manufacturing,36,"Pulp, Paper and Paperboard Manufacturing",5800
Manufacturing,37,Basic Chemical Manufacturing,5400
Manufacturing,38,Fruit and Vegetable Processing,5200
Manufacturing,39,Sheet Metal Product Manufacturing (except Metal Structural and Container Products),5000
Manufacturing,40,"Pump, Compressor, Heating and Ventilation Equipment Manufacturing",4900
Manufacturing,41,Fertiliser and Pesticide Manufacturing,4400
Manufacturing,42,Domestic Appliance Manufacturing,4100
Manufacturing,43,Other Basic Chemical Product Manufacturing,3900
Manufacturing,44,Ceramic Product Manufacturing,3600
Manufacturing,45,Basic Ferrous Metal Product Manufacturing,3200
Manufacturing,46,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",2500
Manufacturing,47,Oil and Fat Manufacturing,1700
Manufacturing,48,Basic Polymer Manufacturing,1600
Manufacturing,49,Seafood Processing,1200
Manufacturing,50,Textile Manufacturing,1100
Manufacturing,51,Iron and Steel Forging,1100
Manufacturing,52,Natural Rubber Product Manufacturing,800
Manufacturing,53,Reproduction of Recorded Media,700
Manufacturing,54,Knitted Product Manufacturing,200
Manufacturing,55,Cigarette and Tobacco Product Manufacturing,100
"Electricity, Gas, Water and Waste Services",1,"Water Supply, Sewerage and Drainage Services",42200
"Electricity, Gas, Water and Waste Services",2,Electricity Distribution,32100
"Electricity, Gas, Water and Waste Services",3,Electricity Generation,32000
"Electricity, Gas, Water and Waste Services",4,Waste Collection Services,27100
"Electricity, Gas, Water and Waste Services",5,"Waste Treatment, Disposal and Remediation Services",15900
"Electricity, Gas, Water and Waste Services",6,Gas Supply,11000
"Electricity, Gas, Water and Waste Services",7,On Selling Electricity and Electricity Market Operation,8900
"Electricity, Gas, Water and Waste Services",8,Electricity Transmission,7800
Construction,1,Building Installation Services,324900
Construction,2,Building Completion Services,216000
Construction,3,Residential Building Construction,166100
Construction,4,Other Construction Services,139100
Construction,5,Heavy and Civil Engineering Construction,128400
Construction,6,Building Structure Services,108900
Construction,7,Non-Residential Building Construction,80000
Construction,8,Land Development and Site Preparation Services,58000
Wholesale Trade,1,Other Machinery and Equipment Wholesaling,58900
Wholesale Trade,2,"Grocery, Liquor and Tobacco Product Wholesaling",56300
Wholesale Trade,3,"Furniture, Floor Covering and Other Goods Wholesaling",38700
Wholesale Trade,4,Timber and Hardware Goods Wholesaling,35400
Wholesale Trade,5,Specialised Industrial Machinery and Equipment Wholesaling,30100
Wholesale Trade,6,"Mineral, Metal and Chemical Wholesaling",27900
Wholesale Trade,7,Motor Vehicle and Motor Vehicle Parts Wholesaling,23500
Wholesale Trade,8,Agricultural Product Wholesaling,20500
Wholesale Trade,9,Pharmaceutical and Toiletry Goods Wholesaling,20500
Wholesale Trade,10,"Textile, Clothing and Footwear Wholesaling",11300
Wholesale Trade,11,Commission-Based Wholesaling,6400
Retail Trade,1,Supermarket and Grocery Stores,321100
Retail Trade,2,Pharmaceutical and Other Store-Based Retailing,222800
Retail Trade,3,"Clothing, Footwear and Personal Accessory Retailing",149000
Retail Trade,4,Specialised Food Retailing,109000
Retail Trade,5,"Hardware, Building and Garden Supplies Retailing",101700
Retail Trade,6,Department Stores,80100
Retail Trade,7,Motor Vehicle Retailing,68500
Retail Trade,8,Electrical and Electronic Goods Retailing,56400
Retail Trade,9,"Furniture, Floor Coverings, Houseware and Textile Goods Retailing",55100
