industry,occupation_rank,anzsco_code,occupation
"Agriculture, Forestry and Fishing",1,1213,Livestock Farmers
"Agriculture, Forestry and Fishing",2,1212,Crop Farmers
"Agriculture, Forestry and Fishing",3,1214,Mixed Crop and Livestock Farmers
"Agriculture, Forestry and Fishing",4,8412,Crop Farm Workers
"Agriculture, Forestry and Fishing",5,8415,Livestock Farm Workers
"Agriculture, Forestry and Fishing",6,7211,"Agricultural, Forestry and Horticultural Plant Operators"
"Agriculture, Forestry and Fishing",7,5512,Bookkeepers
"Agriculture, Forestry and Fishing",8,8419,"Other Farm, Forestry and Garden Workers"
"Agriculture, Forestry and Fishing",9,8414,Garden and Nursery Labourers
"Agriculture, Forestry and Fishing",10,7331,Truck Drivers
Mining,1,7122,"Drillers, Miners and Shot Firers"
Mining,2,3232,Metal Fitters and Machinists
Mining,3,3129,Other Building and Engineering Technicians
Mining,4,3411,Electricians
Mining,5,7331,Truck Drivers
Mining,6,2336,Mining Engineers
Mining,7,1335,Production Managers
Mining,8,2344,"Geologists, Geophysicists and Hydrogeologists"
Mining,9,7212,Earthmoving Plant Operators
Mining,10,3223,Structural Steel and Welding Trades Workers
Manufacturing,1,3223,Structural Steel and Welding Trades Workers
Manufacturing,2,1335,Production Managers
Manufacturing,3,3232,Metal Fitters and Machinists
Manufacturing,4,3941,Cabinetmakers
Manufacturing,5,8321,Packers
Manufacturing,6,6211,Sales Assistants (General)
Manufacturing,7,8311,Food and Drink Factory Workers
Manufacturing,8,7411,Storepersons
Manufacturing,9,3511,Bakers and Pastrycooks
Manufacturing,10,8322,Product Assemblers
"Electricity, Gas, Water and Waste Services",1,7331,Truck Drivers
"Electricity, Gas, Water and Waste Services",2,3411,Electricians
"Electricity, Gas, Water and Waste Services",3,3422,Electrical Distribution Trades Workers
"Electricity, Gas, Water and Waste Services",4,5111,"Contract, Program and Project Administrators"
"Electricity, Gas, Water and Waste Services",5,2333,Electrical Engineers
"Electricity, Gas, Water and Waste Services",6,5311,General Clerks
"Electricity, Gas, Water and Waste Services",7,3232,Metal Fitters and Machinists
"Electricity, Gas, Water and Waste Services",8,1399,Other Specialist Managers
"Electricity, Gas, Water and Waste Services",9,7129,Other Stationary Plant Operators
"Electricity, Gas, Water and Waste Services",10,3129,Other Building and Engineering Technicians
Construction,1,3312,Carpenters and Joiners
Construction,2,3411,Electricians
Construction,3,1331,Construction Managers
Construction,4,3341,Plumbers
Construction,5,8211,Building and Plumbing Labourers
Construction,6,3121,"Architectural, Building and Surveying Technicians"
Construction,7,3322,Painting Trades Workers
Construction,8,8212,Concreters
Construction,9,3622,Gardeners
Construction,10,7212,Earthmoving Plant Operators
Wholesale Trade,1,7411,Storepersons
Wholesale Trade,2,5911,Purchasing and Supply Logistics Clerks
Wholesale Trade,3,6113,Sales Representatives
Wholesale Trade,4,1311,"Advertising, Public Relations and Sales Managers"
Wholesale Trade,5,6211,Sales Assistants (General)
Wholesale Trade,6,1333,"Importers, Exporters and Wholesalers"
Wholesale Trade,7,7213,Forklift Drivers
Wholesale Trade,8,2254,Technical Sales Representatives
Wholesale Trade,9,1421,Retail Managers
Wholesale Trade,10,7331,Truck Drivers
Retail Trade,1,6211,Sales Assistants (General)
Retail Trade,2,1421,Retail Managers
Retail Trade,3,6311,Checkout Operators and Office Cashiers
Retail Trade,4,8912,Shelf Fillers
Retail Trade,5,6215,Retail Supervisors
Retail Trade,6,6214,Pharmacy Sales Assistants
Retail Trade,7,7411,Storepersons
Retail Trade,8,2515,Pharmacists
Retail Trade,9,5911,Purchasing and Supply Logistics Clerks
Retail Trade,10,6213,Motor Vehicle and Vehicle Parts Salespersons
Accommodation and Food Services,1,4315,Waiters
Accommodation and Food Services,2,3513,Chefs
Accommodation and Food Services,3,8513,Kitchenhands
Accommodation and Food Services,4,4311,Bar Attendants and Baristas
Accommodation and Food Services,5,6211,Sales Assistants (General)
Accommodation and Food Services,6,1411,Cafe and Restaurant Managers
Accommodation and Food Services,7,8511,Fast Food Cooks
Accommodation and Food Services,8,4312,Cafe Workers
Accommodation and Food Services,9,1421,Retail Managers
Accommodation and Food Services,10,3514,Cooks
"Transport, Postal and Warehousing",1,7331,Truck Drivers
"Transport, Postal and Warehousing",2,7411,Storepersons
"Transport, Postal and Warehousing",3,7321,Delivery Drivers
"Transport, Postal and Warehousing",4,7311,Automobile Drivers
"Transport, Postal and Warehousing",5,5612,Couriers and Postal Deliverers
"Transport, Postal and Warehousing",6,7312,Bus and Coach Drivers
"Transport, Postal and Warehousing",7,5912,Transport and Despatch Clerks
"Transport, Postal and Warehousing",8,7213,Forklift Drivers
"Transport, Postal and Warehousing",9,1336,"Supply, Distribution and Procurement Managers"
"Transport, Postal and Warehousing",10,7313,Train and Tram Drivers
Information Media and Telecommunications,1,2123,"Film, Television, Radio and Stage Directors"
Information Media and Telecommunications,2,2124,Journalists and Other Writers
Information Media and Telecommunications,3,2121,"Artistic Directors, and Media Producers and Presenters"
Information Media and Telecommunications,4,2633,Telecommunications Engineering Professionals
Information Media and Telecommunications,5,2613,Software and Applications Programmers
Information Media and Telecommunications,6,3995,Performing Arts Technicians
Information Media and Telecommunications,7,3424,Telecommunications Trades Workers
Information Media and Telecommunications,8,2246,Librarians
Information Media and Telecommunications,9,2324,"Graphic and Web Designers, and Illustrators"
Information Media and Telecommunications,10,1351,ICT Managers
Financial and Insurance Services,1,2221,Financial Brokers
Financial and Insurance Services,2,2223,Financial Investment Advisers and Managers
Financial and Insurance Services,3,5521,Bank Workers
Financial and Insurance Services,4,5523,"Insurance, Money Market and Statistical Clerks"
Financial and Insurance Services,5,5522,Credit and Loans Officers
Financial and Insurance Services,6,2613,Software and Applications Programmers
Financial and Insurance Services,7,2211,Accountants
Financial and Insurance Services,8,1322,Finance Managers
Financial and Insurance Services,9,2247,Management and Organisation Analysts
Financial and Insurance Services,10,1499,"Other Hospitality, Retail and Service Managers"
"Rental, Hiring and Real Estate Services",1,6121,Real Estate Sales Agents
"Rental, Hiring and Real Estate Services",2,1499,"Other Hospitality, Retail and Service Managers"
"Rental, Hiring and Real Estate Services",3,2245,Land Economists and Valuers
"Rental, Hiring and Real Estate Services",4,5311,General Clerks
"Rental, Hiring and Real Estate Services",5,2211,Accountants
