anzsic_level,nfd_indicator,anzsic_code,anzsic_title,industry_1_digit_code,date,employment_thousands
1,N,A,"Agriculture, Forestry and Fishing",A,1986-08-01,420.379189452738
1,N,A,"Agriculture, Forestry and Fishing",A,1986-11-01,421.220661873645
1,N,A,"Agriculture, Forestry and Fishing",A,1987-02-01,422.062884040948
1,N,A,"Agriculture, Forestry and Fishing",A,1987-05-01,422.922811680982
1,N,A,"Agriculture, Forestry and Fishing",A,1987-08-01,423.816638414767
1,N,A,"Agriculture, Forestry and Fishing",A,1987-11-01,424.741031637636
1,N,A,"Agriculture, Forestry and Fishing",A,1988-02-01,425.659316284311
1,N,A,"Agriculture, Forestry and Fishing",A,1988-05-01,426.488409884585
1,N,A,"Agriculture, Forestry and Fishing",A,1988-08-01,427.152688281841
1,N,A,"Agriculture, Forestry and Fishing",A,1988-11-01,427.581400132862
1,N,A,"Agriculture, Forestry and Fishing",A,1989-02-01,427.718481528745
1,N,A,"Agriculture, Forestry and Fishing",A,1989-05-01,427.535057880667
1,N,A,"Agriculture, Forestry and Fishing",A,1989-08-01,427.014407551227
1,N,A,"Agriculture, Forestry and Fishing",A,1989-11-01,426.149556686952
1,N,A,"Agriculture, Forestry and Fishing",A,1990-02-01,424.897351589178
1,N,A,"Agriculture, Forestry and Fishing",A,1990-05-01,423.224970983868
1,N,A,"Agriculture, Forestry and Fishing",A,1990-08-01,421.093219772143
1,N,A,"Agriculture, Forestry and Fishing",A,1990-11-01,418.512442588508
1,N,A,"Agriculture, Forestry and Fishing",A,1991-02-01,415.516059452241
1,N,A,"Agriculture, Forestry and Fishing",A,1991-05-01,412.225379550022
1,N,A,"Agriculture, Forestry and Fishing",A,1991-08-01,408.790516820668
1,N,A,"Agriculture, Forestry and Fishing",A,1991-11-01,405.389530773989
1,N,A,"Agriculture, Forestry and Fishing",A,1992-02-01,402.147663067025
1,N,A,"Agriculture, Forestry and Fishing",A,1992-05-01,399.185707049794
1,N,A,"Agriculture, Forestry and Fishing",A,1992-08-01,396.588191061131
1,N,A,"Agriculture, Forestry and Fishing",A,1992-11-01,394.388809793401
1,N,A,"Agriculture, Forestry and Fishing",A,1993-02-01,392.586328176942
1,N,A,"Agriculture, Forestry and Fishing",A,1993-05-01,391.179473004811
1,N,A,"Agriculture, Forestry and Fishing",A,1993-08-01,390.17936559814
1,N,A,"Agriculture, Forestry and Fishing",A,1993-11-01,389.539442238131
1,N,A,"Agriculture, Forestry and Fishing",A,1994-02-01,389.227832979601
1,N,A,"Agriculture, Forestry and Fishing",A,1994-05-01,389.248693795459
1,N,A,"Agriculture, Forestry and Fishing",A,1994-08-01,389.596260972472
1,N,A,"Agriculture, Forestry and Fishing",A,1994-11-01,390.257338786265
1,N,A,"Agriculture, Forestry and Fishing",A,1995-02-01,391.22389810959
1,N,A,"Agriculture, Forestry and Fishing",A,1995-05-01,392.477240076734
1,N,A,"Agriculture, Forestry and Fishing",A,1995-08-01,394.003857220216
1,N,A,"Agriculture, Forestry and Fishing",A,1995-11-01,395.746312276336
1,N,A,"Agriculture, Forestry and Fishing",A,1996-02-01,397.632271962874
1,N,A,"Agriculture, Forestry and Fishing",A,1996-05-01,399.623035375306
1,N,A,"Agriculture, Forestry and Fishing",A,1996-08-01,401.704062061308
1,N,A,"Agriculture, Forestry and Fishing",A,1996-11-01,403.86911204963
1,N,A,"Agriculture, Forestry and Fishing",A,1997-02-01,406.105512429877
1,N,A,"Agriculture, Forestry and Fishing",A,1997-05-01,408.378569148465
1,N,A,"Agriculture, Forestry and Fishing",A,1997-08-01,410.672791982658
1,N,A,"Agriculture, Forestry and Fishing",A,1997-11-01,412.956191112313
1,N,A,"Agriculture, Forestry and Fishing",A,1998-02-01,415.171931040443
1,N,A,"Agriculture, Forestry and Fishing",A,1998-05-01,417.300018498125
1,N,A,"Agriculture, Forestry and Fishing",A,1998-08-01,419.330561786703
1,N,A,"Agriculture, Forestry and Fishing",A,1998-11-01,421.242520546718
1,N,A,"Agriculture, Forestry and Fishing",A,1999-02-01,423.002976806682
1,N,A,"Agriculture, Forestry and Fishing",A,1999-05-01,424.525344726168
1,N,A,"Agriculture, Forestry and Fishing",A,1999-08-01,425.714879018643
1,N,A,"Agriculture, Forestry and Fishing",A,1999-11-01,426.481947156579
1,N,A,"Agriculture, Forestry and Fishing",A,2000-02-01,426.762302004016
1,N,A,"Agriculture, Forestry and Fishing",A,2000-05-01,426.498353082765
1,N,A,"Agriculture, Forestry and Fishing",A,2000-08-01,425.658333863694
1,N,A,"Agriculture, Forestry and Fishing",A,2000-11-01,424.214217230682
1,N,A,"Agriculture, Forestry and Fishing",A,2001-02-01,422.169145929545
1,N,A,"Agriculture, Forestry and Fishing",A,2001-05-01,419.525854250316
1,N,A,"Agriculture, Forestry and Fishing",A,2001-08-01,416.255006638284
1,N,A,"Agriculture, Forestry and Fishing",A,2001-11-01,412.333068777158
1,N,A,"Agriculture, Forestry and Fishing",A,2002-02-01,407.809227510937
1,N,A,"Agriculture, Forestry and Fishing",A,2002-05-01,402.789800031595
1,N,A,"Agriculture, Forestry and Fishing",A,2002-08-01,397.439854138712
1,N,A,"Agriculture, Forestry and Fishing",A,2002-11-01,391.977602065797
1,N,A,"Agriculture, Forestry and Fishing",A,2003-02-01,386.616948967474
