anzsco_code,occupation,age_group,share_pct
1111,Chief Executives and Managing Directors,15_19,0
1111,Chief Executives and Managing Directors,20_24,0.5
1111,Chief Executives and Managing Directors,25_34,6.9
1111,Chief Executives and Managing Directors,35_44,22.6
1111,Chief Executives and Managing Directors,45_54,33.3
1111,Chief Executives and Managing Directors,55_59,14.7
1111,Chief Executives and Managing Directors,60_64,10.5
1111,Chief Executives and Managing Directors,65,11.4
1112,General Managers,15_19,0.1
1112,General Managers,20_24,0.8
1112,General Managers,25_34,10.9
1112,General Managers,35_44,28.1
1112,General Managers,45_54,33.6
1112,General Managers,55_59,12.2
1112,General Managers,60_64,7.7
1112,General Managers,65,6.5
1113,Legislators,15_19,0.3
1113,Legislators,20_24,1.4
1113,Legislators,25_34,7.1
1113,Legislators,35_44,18.1
1113,Legislators,45_54,25.7
1113,Legislators,55_59,13.3
1113,Legislators,60_64,11.9
1113,Legislators,65,21.7
1211,Aquaculture Farmers,15_19,3.3
1211,Aquaculture Farmers,20_24,6.8
1211,Aquaculture Farmers,25_34,18.8
1211,Aquaculture Farmers,35_44,23.5
1211,Aquaculture Farmers,45_54,21.1
1211,Aquaculture Farmers,55_59,8.6
1211,Aquaculture Farmers,60_64,6.9
1211,Aquaculture Farmers,65,11.1
1212,Crop Farmers,15_19,1
1212,Crop Farmers,20_24,3
1212,Crop Farmers,25_34,12.4
1212,Crop Farmers,35_44,17.2
1212,Crop Farmers,45_54,22.1
1212,Crop Farmers,55_59,12
1212,Crop Farmers,60_64,11.6
1212,Crop Farmers,65,20.7
1213,Livestock Farmers,15_19,1.1
1213,Livestock Farmers,20_24,2
1213,Livestock Farmers,25_34,8.5
1213,Livestock Farmers,35_44,12.5
1213,Livestock Farmers,45_54,17.4
1213,Livestock Farmers,55_59,11.2
1213,Livestock Farmers,60_64,12.6
1213,Livestock Farmers,65,34.6
1214,Mixed Crop and Livestock Farmers,15_19,0.7
1214,Mixed Crop and Livestock Farmers,20_24,1.9
1214,Mixed Crop and Livestock Farmers,25_34,9
1214,Mixed Crop and Livestock Farmers,35_44,14.8
1214,Mixed Crop and Livestock Farmers,45_54,20.3
1214,Mixed Crop and Livestock Farmers,55_59,12.9
1214,Mixed Crop and Livestock Farmers,60_64,13.3
1214,Mixed Crop and Livestock Farmers,65,27.2
1311,"Advertising, Public Relations and Sales Manager",15_19,0.1
1311,"Advertising, Public Relations and Sales Manager",20_24,2.2
1311,"Advertising, Public Relations and Sales Manager",25_34,22.3
1311,"Advertising, Public Relations and Sales Manager",35_44,32.8
1311,"Advertising, Public Relations and Sales Manager",45_54,27
1311,"Advertising, Public Relations and Sales Manager",55_59,8.2
1311,"Advertising, Public Relations and Sales Manager",60_64,4.6
1311,"Advertising, Public Relations and Sales Manager",65,2.6
1321,Corporate Services Managers,15_19,0.1
1321,Corporate Services Managers,20_24,1
1321,Corporate Services Managers,25_34,14.5
1321,Corporate Services Managers,35_44,29.2
1321,Corporate Services Managers,45_54,31.4
1321,Corporate Services Managers,55_59,12.1
1321,Corporate Services Managers,60_64,7
1321,Corporate Services Managers,65,4.8
1322,Finance Managers,15_19,0
1322,Finance Managers,20_24,0.6
1322,Finance Managers,25_34,13.1
1322,Finance Managers,35_44,32.5
1322,Finance Managers,45_54,32.4
1322,Finance Managers,55_59,10.6
1322,Finance Managers,60_64,6.3
1322,Finance Managers,65,4.5
1323,Human Resource Managers,15_19,0.1
1323,Human Resource Managers,20_24,1.7
1323,Human Resource Managers,25_34,16.4
1323,Human Resource Managers,35_44,32.3
1323,Human Resource Managers,45_54,30.8
1323,Human Resource Managers,55_59,10.3
1323,Human Resource Managers,60_64,5.7
1323,Human Resource Managers,65,2.7
1324,Policy and Planning Managers,15_19,0.1
1324,Policy and Planning Managers,20_24,0.8
1324,Policy and Planning Managers,25_34,16.9
1324,Policy and Planning Managers,35_44,34.5
1324,Policy and Planning Managers,45_54,30.2
1324,Policy and Planning Managers,55_59,9.8
1324,Policy and Planning Managers,60_64,5.1
1324,Policy and Planning Managers,65,2.7
1325,Research and Development Managers,15_19,0.1
1325,Research and Development Managers,20_24,1.1
1325,Research and Development Managers,25_34,16.7
1325,Research and Development Managers,35_44,33.5
1325,Research and Development Managers,45_54,28.7
1325,Research and Development Managers,55_59,9.8
1325,Research and Development Managers,60_64,6.1
1325,Research and Development Managers,65,4.1
1331,Construction Managers,15_19,0.9
1331,Construction Managers,20_24,3.7
1331,Construction Managers,25_34,20.7
1331,Construction Managers,35_44,27.8
1331,Construction Managers,45_54,24.4
1331,Construction Managers,55_59,9.6
1331,Construction Managers,60_64,7.1
1331,Construction Managers,65,5.8
1332,Engineering Managers,15_19,0
1332,Engineering Managers,20_24,0.9
1332,Engineering Managers,25_34,14.8
1332,Engineering Managers,35_44,34.6
1332,Engineering Managers,45_54,28.1
1332,Engineering Managers,55_59,10.9
1332,Engineering Managers,60_64,6.5
1332,Engineering Managers,65,4.1
1333,"Importers, Exporters and Wholesalers",15_19,0.4
1333,"Importers, Exporters and Wholesalers",20_24,2.1
1333,"Importers, Exporters and Wholesalers",25_34,12.9
1333,"Importers, Exporters and Wholesalers",35_44,22.3
1333,"Importers, Exporters and Wholesalers",45_54,27.3
1333,"Importers, Exporters and Wholesalers",55_59,12.8
