anzsco_code,occupation,education_level,share_pct
1111,Chief Executives and Managing Directors,post_graduate_graduate_diploma_or_graduate_certificate,25.3
1111,Chief Executives and Managing Directors,bachelor_degree,31.5
1111,Chief Executives and Managing Directors,advanced_diploma_diploma,11.8
1111,Chief Executives and Managing Directors,certificate_iii_iv,11.8
1111,Chief Executives and Managing Directors,year_12,10.2
1111,Chief Executives and Managing Directors,year_11,1.9
1111,Chief Executives and Managing Directors,year_10_and_below,4.2
1112,General Managers,post_graduate_graduate_diploma_or_graduate_certificate,23.6
1112,General Managers,bachelor_degree,30
1112,General Managers,advanced_diploma_diploma,15.2
1112,General Managers,certificate_iii_iv,11.6
1112,General Managers,year_12,11
1112,General Managers,year_11,2
1112,General Managers,year_10_and_below,3.6
1113,Legislators,post_graduate_graduate_diploma_or_graduate_certificate,24.2
1113,Legislators,bachelor_degree,32.5
1113,Legislators,advanced_diploma_diploma,10.9
1113,Legislators,certificate_iii_iv,9.5
1113,Legislators,year_12,9.4
1113,Legislators,year_11,2.5
1113,Legislators,year_10_and_below,5.9
1211,Aquaculture Farmers,post_graduate_graduate_diploma_or_graduate_certificate,5
1211,Aquaculture Farmers,bachelor_degree,15.6
1211,Aquaculture Farmers,advanced_diploma_diploma,8.5
1211,Aquaculture Farmers,certificate_iii_iv,20.7
1211,Aquaculture Farmers,year_12,14.9
1211,Aquaculture Farmers,year_11,5.8
1211,Aquaculture Farmers,year_10_and_below,21.7
1212,Crop Farmers,post_graduate_graduate_diploma_or_graduate_certificate,3.3
1212,Crop Farmers,bachelor_degree,11.3
1212,Crop Farmers,advanced_diploma_diploma,9.2
1212,Crop Farmers,certificate_iii_iv,18.2
1212,Crop Farmers,year_12,18.1
1212,Crop Farmers,year_11,6.9
1212,Crop Farmers,year_10_and_below,26.1
1213,Livestock Farmers,post_graduate_graduate_diploma_or_graduate_certificate,3.2
1213,Livestock Farmers,bachelor_degree,11.4
1213,Livestock Farmers,advanced_diploma_diploma,10.5
1213,Livestock Farmers,certificate_iii_iv,19.6
1213,Livestock Farmers,year_12,14.3
1213,Livestock Farmers,year_11,6.9
1213,Livestock Farmers,year_10_and_below,27.7
1214,Mixed Crop and Livestock Farmers,post_graduate_graduate_diploma_or_graduate_certificate,2
1214,Mixed Crop and Livestock Farmers,bachelor_degree,11
1214,Mixed Crop and Livestock Farmers,advanced_diploma_diploma,10.2
1214,Mixed Crop and Livestock Farmers,certificate_iii_iv,20.1
1214,Mixed Crop and Livestock Farmers,year_12,18.7
1214,Mixed Crop and Livestock Farmers,year_11,8.4
1214,Mixed Crop and Livestock Farmers,year_10_and_below,23.6
