anzsco_code,occupation,industry_rank,industry
1111,Chief Executives and Managing Directors,1,"Professional, Scientific and Technical Services"
1111,Chief Executives and Managing Directors,2,Health Care and Social Assistance
1111,Chief Executives and Managing Directors,3,Construction
1112,General Managers,1,Health Care and Social Assistance
1112,General Managers,2,"Professional, Scientific and Technical Services"
1112,General Managers,3,Manufacturing
1113,Legislators,1,Public Administration and Safety
1113,Legislators,2,Health Care and Social Assistance
1113,Legislators,3,Education and Training
1211,Aquaculture Farmers,1,"Agriculture, Forestry and Fishing"
1211,Aquaculture Farmers,2,Construction
1212,Crop Farmers,1,"Agriculture, Forestry and Fishing"
1213,Livestock Farmers,1,"Agriculture, Forestry and Fishing"
1214,Mixed Crop and Livestock Farmers,1,"Agriculture, Forestry and Fishing"
1311,"Advertising, Public Relations and Sales Manager",1,"Professional, Scientific and Technical Services"
1311,"Advertising, Public Relations and Sales Manager",2,Manufacturing
1311,"Advertising, Public Relations and Sales Manager",3,Wholesale Trade
1321,Corporate Services Managers,1,Public Administration and Safety
1321,Corporate Services Managers,2,"Professional, Scientific and Technical Services"
1321,Corporate Services Managers,3,Construction
1322,Finance Managers,1,Financial and Insurance Services
1322,Finance Managers,2,"Professional, Scientific and Technical Services"
1322,Finance Managers,3,Manufacturing
1323,Human Resource Managers,1,Health Care and Social Assistance
1323,Human Resource Managers,2,Public Administration and Safety
1323,Human Resource Managers,3,"Professional, Scientific and Technical Services"
1324,Policy and Planning Managers,1,Public Administration and Safety
1324,Policy and Planning Managers,2,Financial and Insurance Services
1324,Policy and Planning Managers,3,Health Care and Social Assistance
1325,Research and Development Managers,1,"Professional, Scientific and Technical Services"
1325,Research and Development Managers,2,Public Administration and Safety
1325,Research and Development Managers,3,Manufacturing
1331,Construction Managers,1,Construction
1331,Construction Managers,2,"Professional, Scientific and Technical Services"
1332,Engineering Managers,1,"Professional, Scientific and Technical Services"
1332,Engineering Managers,2,Manufacturing
1332,Engineering Managers,3,Construction
1333,"Importers, Exporters and Wholesalers",1,Wholesale Trade
1333,"Importers, Exporters and Wholesalers",2,Retail Trade
1333,"Importers, Exporters and Wholesalers",3,"Transport, Postal and Warehousing"
1334,Manufacturers,1,Manufacturing
1334,Manufacturers,2,Wholesale Trade
1335,Production Managers,1,Manufacturing
1335,Production Managers,2,Mining
1335,Production Managers,3,Construction
1336,"Supply, Distribution and Procurement Managers",1,"Transport, Postal and Warehousing"
1336,"Supply, Distribution and Procurement Managers",2,Manufacturing
1336,"Supply, Distribution and Procurement Managers",3,Wholesale Trade
1341,Child Care Centre Managers,1,Health Care and Social Assistance
1341,Child Care Centre Managers,2,Education and Training
1342,Health and Welfare Services Managers,1,Health Care and Social Assistance
1342,Health and Welfare Services Managers,2,Public Administration and Safety
1343,School Principals,1,Education and Training
1344,Other Education Managers,1,Education and Training
1344,Other Education Managers,2,Public Administration and Safety
1351,ICT Managers,1,"Professional, Scientific and Technical Services"
1351,ICT Managers,2,Financial and Insurance Services
1351,ICT Managers,3,Public Administration and Safety
1391,Commissioned Officers (Management),1,Public Administration and Safety
1392,Senior Non-Commissioned Defence Force Officers,1,Public Administration and Safety
1399,Other Specialist Managers,1,Public Administration and Safety
1399,Other Specialist Managers,2,Manufacturing
