anzsco_code,anzsco_level,anzsco4_code,occupation,description,employed,part_time_share_pct,female_share_pct,median_weekly_earnings_aud,median_age,annual_employment_growth,share_of_workers_who_work_full_time_hours_pct,average_full_time_hours_worked_per_week,median_full_time_earnings_per_week_aud,median_full_time_hourly_earnings_aud
1111,4,1111,Chief Executives and Managing Directors,"Chief Executives and Managing Directors determine, formulate and review the general policy programs and the overall direction of organisations within the framework established by boards of directors and similar governing bodies.",63000,15,31,,50,3400,85,50,,
1112,4,1112,General Managers,"General Managers plan, organise, direct, control and review the day-to-day operations and major functions of commercial, industrial, government and defence organisations through departmental managers and subordinate executives.",69300,9,33,,48,-400,91,47,,
1113,4,1113,Legislators,"Legislators represent the interests of people in constituencies as elected members of national, state and territory parliaments and local government authorities.",2700,24,57,,54,-200,76,52,,
1211,4,1211,Aquaculture Farmers,"Aquaculture Farmers plan, organise, control, coordinate and perform farming operations to breed and raise fish and other aquatic stock.",1900,27,15,,47,0,73,46,,
1212,4,1212,Crop Farmers,"Crop Farmers plan, organise, control, coordinate and perform farming operations to grow crops.",34700,22,19,,52,-600,78,51,,
1213,4,1213,Livestock Farmers,"Livestock Farmers plan, organise, control, coordinate and perform farming operations to breed and raise livestock.",72400,26,32,,60,-4000,74,55,,
1214,4,1214,Mixed Crop and Livestock Farmers,"Mixed Crop and Livestock Farmers plan, organise, control, coordinate and perform farming operations to both grow crops and to breed and raise livestock.",28300,17,24,,56,500,83,55,,
1311,4,1311,"Advertising, Public Relations and Sales Manager","Advertising, Public Relations and Sales Managers plan, organise, direct, control and coordinate advertising, public relations, sales and marketing activities within organisations.",167100,10,44,2677,42,2400,90,44,2677,70
1321,4,1321,Corporate Services Managers,"Corporate Services Managers plan, organise, direct, control and coordinate the overall administration of organisations.",23000,17,66,2932,48,400,83,44,2932,78
1322,4,1322,Finance Managers,"Finance Managers plan, organise, direct, control and coordinate the financial and accounting activities within organisations.",77900,12,53,2904,45,2100,88,45,2904,76
1323,4,1323,Human Resource Managers,"Human Resource Managers plan, organise, direct, control and coordinate the human resource and workplace relations activities within organisations.",95300,11,59,2768,44,1000,89,45,2768,75
1324,4,1324,Policy and Planning Managers,"Policy and Planning Managers plan, organise, direct, control and coordinate policy advice and strategic planning within organisations.",41900,11,60,2945,45,2800,89,44,2945,81
1325,4,1325,Research and Development Managers,"Research and Development Managers plan, organise, direct, control and coordinate research and development activities within organisations.",20500,13,54,2887,48,1100,87,44,2887,76
1331,4,1331,Construction Managers,"Construction Managers plan, organise, direct, control and coordinate the construction of civil engineering projects, buildings and dwellings, and the physical and human resources involved in building and construction.",134300,7,11,3751,42,2700,93,47,3751,87
1332,4,1332,Engineering Managers,"Engineering Managers plan, organise, direct, control and coordinate the engineering and technical operations of organisations.",33500,4,18,3519,45,1100,96,45,3519,91
1333,4,1333,"Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers plan, organise, direct, control and coordinate the operations of importing, exporting and wholesaling establishments.",17700,22,23,1846,52,-700,78,46,1846,46
1334,4,1334,Manufacturers,"Manufacturers plan, organise, direct, control and coordinate the operations of small manufacturing establishments.",19400,26,23,,45,-2000,74,45,,
1335,4,1335,Production Managers,"Production Managers plan, organise, direct, control and coordinate the production activities of forestry, manufacturing and mining organisations including physical and human resources.",64700,4,16,2298,47,700,96,47,2298,54
1336,4,1336,"Supply, Distribution and Procurement Managers","Supply, Distribution and Procurement Managers plan, organise, direct, control and coordinate the supply, storage and distribution of goods, products and services produced and used by organisations.",56700,7,24,2834,45,2500,93,46,2834,74
1341,4,1341,Child Care Centre Managers,"Child Care Centre Managers plan, organise, direct, control and coordinate the activities of childcare centres and services including physical and human resources.",17200,19,95,1983,43,-400,81,41,1983,52
1342,4,1342,Health and Welfare Services Managers,"Health and Welfare Services Managers plan, organise, direct, control and coordinate the professional and administrative aspects of health and welfare programs and services.",51200,17,66,2720,47,4500,83,43,2720,73
1343,4,1343,School Principals,"School Principals plan, organise, direct, control and coordinate the educational and administrative aspects of primary, middle or intermediate, and secondary schools including physical and human resources.",30000,7,66,,50,900,93,51,,
1344,4,1344,Other Education Managers,"Other Education Managers plan, organise, direct, control and coordinate educational policy, and provide advice and educational and administrative support to staff and students in educational institutions.",16200,16,58,2724,47,600,84,44,2724,75
1351,4,1351,ICT Managers,"ICT Managers plan, organise, direct, control and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems within organisations.",95800,6,25,3310,45,4100,94,44,3310,86
