anzsco_code,occupation,state,share_pct
1111,Chief Executives and Managing Directors,NSW,31.1
1111,Chief Executives and Managing Directors,VIC,28
1111,Chief Executives and Managing Directors,QLD,19
1111,Chief Executives and Managing Directors,SA,6
1111,Chief Executives and Managing Directors,WA,11.2
1111,Chief Executives and Managing Directors,TAS,1.9
1111,Chief Executives and Managing Directors,NT,1.2
1111,Chief Executives and Managing Directors,ACT,1.7
1112,General Managers,NSW,31.1
1112,General Managers,VIC,28.4
1112,General Managers,QLD,19
1112,General Managers,SA,4.9
1112,General Managers,WA,11.1
1112,General Managers,TAS,1.9
1112,General Managers,NT,1.3
1112,General Managers,ACT,2.2
1113,Legislators,NSW,30
1113,Legislators,VIC,15.4
1113,Legislators,QLD,17.5
1113,Legislators,SA,7.9
1113,Legislators,WA,14.8
1113,Legislators,TAS,5.3
1113,Legislators,NT,4.6
1113,Legislators,ACT,4.4
1211,Aquaculture Farmers,NSW,15.8
1211,Aquaculture Farmers,VIC,11.6
1211,Aquaculture Farmers,QLD,11.3
1211,Aquaculture Farmers,SA,10.6
1211,Aquaculture Farmers,WA,14
1211,Aquaculture Farmers,TAS,27.4
1211,Aquaculture Farmers,NT,4.7
1211,Aquaculture Farmers,ACT,4.7
1212,Crop Farmers,NSW,23.6
1212,Crop Farmers,VIC,23
1212,Crop Farmers,QLD,24.6
1212,Crop Farmers,SA,12.1
1212,Crop Farmers,WA,12.6
1212,Crop Farmers,TAS,3.1
1212,Crop Farmers,NT,0.7
1212,Crop Farmers,ACT,0.3
1213,Livestock Farmers,NSW,33.2
1213,Livestock Farmers,VIC,28.7
1213,Livestock Farmers,QLD,18.3
1213,Livestock Farmers,SA,9.9
1213,Livestock Farmers,WA,5.2
1213,Livestock Farmers,TAS,3.9
1213,Livestock Farmers,NT,0.6
1213,Livestock Farmers,ACT,0.2
1214,Mixed Crop and Livestock Farmers,NSW,20.4
1214,Mixed Crop and Livestock Farmers,VIC,15
1214,Mixed Crop and Livestock Farmers,QLD,15.1
1214,Mixed Crop and Livestock Farmers,SA,26.1
1214,Mixed Crop and Livestock Farmers,WA,21.8
1214,Mixed Crop and Livestock Farmers,TAS,0.9
1214,Mixed Crop and Livestock Farmers,NT,0.4
1214,Mixed Crop and Livestock Farmers,ACT,0.3
1311,"Advertising, Public Relations and Sales Manager",NSW,36.3
1311,"Advertising, Public Relations and Sales Manager",VIC,27.1
1311,"Advertising, Public Relations and Sales Manager",QLD,20.3
1311,"Advertising, Public Relations and Sales Manager",SA,4.7
1311,"Advertising, Public Relations and Sales Manager",WA,8.2
1311,"Advertising, Public Relations and Sales Manager",TAS,1.1
1311,"Advertising, Public Relations and Sales Manager",NT,0.4
