anzsco_code,occupation,task_rank,task
1111,Chief Executives and Managing Directors,1,"Determining objectives, strategies, policies and programs for organisations"
1111,Chief Executives and Managing Directors,2,Providing overall direction and management to organisations
1111,Chief Executives and Managing Directors,3,"Authorising material, human and financial resources to implement organisational policies and programs"
1111,Chief Executives and Managing Directors,4,Monitoring and evaluating performance of organisations against organisational objectives and strategies
1111,Chief Executives and Managing Directors,5,Consulting with senior subordinate staff and reviewing recommendations and reports
1111,Chief Executives and Managing Directors,6,"Preparing, or arranging for the preparation of, reports, budgets and forecasts and presenting them to governing bodies"
1111,Chief Executives and Managing Directors,7,"Representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility"
1111,Chief Executives and Managing Directors,8,Selecting and approving the selection of senior staff
1111,Chief Executives and Managing Directors,9,Ensuring the organisation complies with company laws and other relevant legislation
1112,General Managers,1,"Planning policy, and setting standards and objectives for organisations"
1112,General Managers,2,"Providing day-to-day direction and management of organisations, and directing and endorsing policy to fulfil objectives, achieve specific goals, and maximise profit and efficiency"
1112,General Managers,3,Assessing changing situations and responding accordingly by issuing commands and directives to subordinate staff
1112,General Managers,4,"Consulting with immediate subordinates and departmental heads on matters such as methods of operation, equipment requirements, finance, sales and human resources"
1112,General Managers,5,Authorising the funding of major policy implementation programs
1112,General Managers,6,"Representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility"
1112,General Managers,7,"Preparing, or arranging for the preparation of, reports, budgets and forecasts, and presenting them to governing bodies"
1112,General Managers,8,Selecting and managing the performance of senior staff
1112,General Managers,9,"May undertake responsibility for some or all of accounting, sales, marketing, human resources and other specialist operations"
1113,Legislators,1,"Developing national, state, territory or local government policy, and formulating, amending and repealing legislation and by-laws"
1113,Legislators,2,Helping constituents with a range of problems particularly with regard to matters concerning government and local agencies
1113,Legislators,3,Investigating matters of concern to the public and to particular persons and groups
1113,Legislators,4,Introducing proposals for government action and representing public and electoral interests
1113,Legislators,5,Issuing policy directions to government departments and exercising control over local government authorities
1113,Legislators,6,"Attending community functions and meetings of local groups to provide service to the community, gauge public opinion and provide information on government plans"
1113,Legislators,7,May serve as a member on parliamentary committees and inquiries
1113,Legislators,8,May present petitions on behalf of concerned groups
1211,Aquaculture Farmers,1,"Planning and coordinating the operation of hatcheries to produce fish fry, seed oysters, crayfish, marron and prawns taking into account environmental and market factors"
1211,Aquaculture Farmers,2,Monitoring the environment to maintain optimal growing conditions
1211,Aquaculture Farmers,3,Identifying and controlling environmental toxins and diseases
1211,Aquaculture Farmers,4,Monitoring stock growth rates to determine when to harvest
1211,Aquaculture Farmers,5,"Transporting fish, crayfish, marron, prawns and sticks of seed oysters to new tanks, ponds, cages and floating net pens"
1211,Aquaculture Farmers,6,"Directing and overseeing the harvesting, grading and packaging of fish, oysters and other aquatic stock"
1211,Aquaculture Farmers,7,"Organising the sale, purchase and transportation of fish stock"
1211,Aquaculture Farmers,8,"Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly"
1211,Aquaculture Farmers,9,"Managing business capital including budgeting, taxation, debt and loan management"
1211,Aquaculture Farmers,10,"May select, train and supervise staff and contractors"
1212,Crop Farmers,1,"Planning and coordinating the production and marketing of crops, such as grain, cotton, sugar cane, fruit and nuts, vegetables, turf and flowers, from soil preparation to harvest taking into account environmental and market factors"
1212,Crop Farmers,2,"Selecting and planting seeds, seedlings and bulbs, and grafting new varieties to root stocks"
1212,Crop Farmers,3,"Maintaining crop production by cultivating, de-budding and pruning, and maintaining optimal growing conditions"
1212,Crop Farmers,4,"Organising and conducting farming operations, such as collecting, storing, grading and packaging produce, and organising the sale, purchase and despatch of produce"
1212,Crop Farmers,5,Directing and overseeing general farming activities such as fertilising and pest and weed control
1212,Crop Farmers,6,"Maintaining farm buildings, fences, equipment and water supply systems"
1212,Crop Farmers,7,"Maintaining and evaluating records of farming activities, monitoring market activity, and planning crop preparation and production to meet contract requirements and market demand"
1212,Crop Farmers,8,"Managing business capital including budgeting, taxation, debt and loan management"
1212,Crop Farmers,9,"May select, train and supervise staff and contractors"
1213,Livestock Farmers,1,"Breeding and raising livestock for the production of honey, meat, milk, skins, eggs and wool"
1213,Livestock Farmers,2,Monitoring and maintaining the health and condition of livestock
1213,Livestock Farmers,3,Providing pastures and fodder to maintain appropriate nutritional levels
1213,Livestock Farmers,4,Moving livestock to optimise feeding opportunities
1213,Livestock Farmers,5,"Organising and conducting farming operations such as catching, drenching and milking livestock, sterilising machines, and collecting, grading and packaging produce"
