major_group_code,major_group,sub_major_group_code,sub_major_group,minor_group_code,minor_group,unit_group_code,unit_group,osca_code,occupation,skill_level
1,Managers,11,"Business Administration and Promotion, and ICT Managers",111,Business Administration Managers,1111,Corporate Services Managers,111131,Corporate Services Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",111,Business Administration Managers,1112,Finance Managers,111231,Finance Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",111,Business Administration Managers,1113,Human Resources Managers,111331,Human Resources Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",111,Business Administration Managers,1114,Policy and Planning Managers,111431,Policy and Planning Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",111,Business Administration Managers,1115,Research and Development Managers,111531,Research and Development Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",111,Business Administration Managers,1116,Workplace Compliance Managers,111631,Quality Assurance Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",111,Business Administration Managers,1116,Workplace Compliance Managers,111632,Regulatory Affairs Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",111,Business Administration Managers,1116,Workplace Compliance Managers,111633,Work Health and Safety Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",112,Business Promotion and Communications Managers,1121,Business Promotion Managers,112131,Advertising Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",112,Business Promotion and Communications Managers,1121,Business Promotion Managers,112132,Business Development Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",112,Business Promotion and Communications Managers,1121,Business Promotion Managers,112133,Sales and Marketing Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",112,Business Promotion and Communications Managers,1122,Communications Managers (Public Relations),112231,Communications Manager (Public Relations),1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",113,Chief Information Officers and ICT Managers,1131,Chief Information and Chief Information Security Officers,113131,Chief Information Officer,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",113,Chief Information Officers and ICT Managers,1131,Chief Information and Chief Information Security Officers,113132,Chief Information Security Officer,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",113,Chief Information Officers and ICT Managers,1132,ICT Managers,113231,ICT Operations Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",113,Chief Information Officers and ICT Managers,1132,ICT Managers,113232,ICT Project Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",113,Chief Information Officers and ICT Managers,1132,ICT Managers,113233,ICT Service Delivery Manager,1
1,Managers,11,"Business Administration and Promotion, and ICT Managers",113,Chief Information Officers and ICT Managers,1132,ICT Managers,113299,ICT Managers nec,1
1,Managers,12,"Chief Executives, General Managers and Legislators",121,"Chief Executives, General Managers and Legislators",1211,Chief Executives and Managing Directors,121131,Chief Executive or Managing Director,1
1,Managers,12,"Chief Executives, General Managers and Legislators",121,"Chief Executives, General Managers and Legislators",1212,General Managers and Defence Force Senior Officers,121231,Corporate General Manager,1
1,Managers,12,"Chief Executives, General Managers and Legislators",121,"Chief Executives, General Managers and Legislators",1212,General Managers and Defence Force Senior Officers,121232,Defence Force Senior Officer,1
1,Managers,12,"Chief Executives, General Managers and Legislators",121,"Chief Executives, General Managers and Legislators",1213,Legislators,121331,Local Government Legislator,1
1,Managers,12,"Chief Executives, General Managers and Legislators",121,"Chief Executives, General Managers and Legislators",1213,Legislators,121332,Member of Parliament,1
1,Managers,12,"Chief Executives, General Managers and Legislators",121,"Chief Executives, General Managers and Legislators",1213,Legislators,121399,Legislators nec,1
1,Managers,13,"Construction, Production and Distribution Managers",131,Construction and Engineering Managers,1311,Construction Project Managers,131131,Construction Project Manager,1
