osca_code,title,title_type
242331,2D Animator,Specialisation
242331,3D Animator,Specialisation
242331,3D Artist (Animation),Specialisation
399932,Abalone Diver,Specialisation
831333,Abalone Sheller,Specialisation
232231,Aboriginal and Torres Strait Islander Ceremonial Celebrant,Specialisation
432931,Aboriginal and Torres Strait Islander Community Education Counsellor,Alternative Title
432931,Aboriginal and Torres Strait Islander Community Education Officer,Alternative Title
432931,Aboriginal and Torres Strait Islander Education Officer,Principal Title
432931,Aboriginal and Torres Strait Islander Education Officer Coordinator,Specialisation
259999,Aboriginal and Torres Strait Islander Education Teacher,Occupation in nec category
441931,Aboriginal and Torres Strait Islander Health Practitioner,Principal Title
441932,Aboriginal and Torres Strait Islander Health Worker,Principal Title
232335,Aboriginal and Torres Strait Islander Heritage Surveyor,Specialisation
244331,Aboriginal and Torres Strait Islander Land and Sea Ranger,Principal Title
221332,Aboriginal and Torres Strait Islander Liaison Officer,Specialisation
461632,Aboriginal and Torres Strait Islander Tour Guide,Specialisation
121399,Aboriginal Community Council Member,Occupation in nec category
232336,Academic Historian,Specialisation
141431,Academic Manager (RTO),Specialisation
259131,Academic Tutor (Private Tuition),Principal Title
161131,Accommodation Service Manager,Principal Title
211131,Accountant (General),Principal Title
171399,Accounting Practice Manager,Occupation in nec category
541131,Accounts Clerk,Principal Title
541131,Accounts Payable or Receivable Clerk,Alternative Title
243931,Acoustic Engineer,Principal Title
451131,Acoustic Warfare Analyst (Navy),Specialisation
411332,Activities Coordinator,Alternative Title
411333,Activities Officer,Alternative Title
231131,Actor,Principal Title
231199,"Actors, Dancers and Other Entertainers nec",Principal Title
223131,Actuary,Principal Title
269931,Acupuncturist,Principal Title
552231,Admissions Clerk,Alternative Title
259931,Adult Literacy / Numeracy Teacher,Principal Title
821231,Advanced Rigger,Specialisation
221131,Advertising Account Executive,Alternative Title
221131,Advertising Account Manager,Alternative Title
171399,Advertising Agency Manager,Occupation in nec category
112131,Advertising Manager,Principal Title
221131,Advertising Specialist,Principal Title
591131,Aerodrome Reporting Officer,Principal Title
243932,Aeronautical Engineer,Specialisation
299131,Aeroplane Pilot,Principal Title
243932,Aerospace Engineer,Principal Title
