onet_soc_code,title,requirement_type,element_id,element_name,importance,level,importance_n,level_n,not_relevant,date,domain_source,data_source
11-1011.00,Chief Executives,ability,1.A.1.a.1,Oral Comprehension,4.62,4.88,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.a.3,Oral Expression,4.5,4.88,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.4.b.5,Speech Clarity,4.25,4.75,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.a.2,Written Comprehension,4.25,4.88,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.b.4,Deductive Reasoning,4.12,4.75,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.a.4,Written Expression,4.12,4.75,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.b.5,Inductive Reasoning,4.0,4.88,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.b.6,Information Ordering,4.0,4.12,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.b.3,Problem Sensitivity,4.0,4.88,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.4.b.4,Speech Recognition,4.0,4.5,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.b.1,Fluency of Ideas,3.88,4.62,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.b.2,Originality,3.75,4.25,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.4.a.1,Near Vision,3.62,4.5,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.b.7,Category Flexibility,3.5,4.0,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.e.2,Flexibility of Closure,3.25,3.62,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.c.1,Mathematical Reasoning,3.25,3.75,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.c.2,Number Facility,3.12,3.75,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.4.a.2,Far Vision,3.0,3.25,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.e.3,Perceptual Speed,3.0,3.0,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.g.1,Selective Attention,3.0,3.12,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.e.1,Speed of Closure,3.0,3.12,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.f.2,Visualization,3.0,3.38,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.d.1,Memorization,2.88,3.12,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.1.g.2,Time Sharing,2.88,2.88,8,8,N,08/2023,Analyst,O*NET
11-1011.00,Chief Executives,ability,1.A.4.b.2,Auditory Attention,2.12,2.0,8,8,N,08/2023,Analyst,O*NET
