onet_soc_code,title,requirement_type,element_id,element_name,importance,level,importance_n,level_n,not_relevant,date,domain_source,data_source
11-1011.00,Chief Executives,knowledge,2.C.1.a,Administration and Management,4.78,6.5,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.1.f,Personnel and Human Resources,4.48,5.78,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.7.a,English Language,4.41,3.91,27,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.1.e,Customer and Personal Service,4.39,5.94,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.1.c,Economics and Accounting,4.04,4.98,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.8.a,Public Safety and Security,3.88,3.35,27,27,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.3.a,Computers and Electronics,3.82,5.19,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.1.d,Sales and Marketing,3.81,5.04,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.4.a,Mathematics,3.6,4.63,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.6,Education and Training,3.52,4.6,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.8.b,Law and Government,3.48,3.58,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.4.e,Psychology,3.09,3.48,27,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.3.b,Engineering and Technology,3.05,3.51,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.9.b,Communications and Media,3.02,3.25,27,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.4.f,Sociology and Anthropology,2.88,2.53,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.2.a,Production and Processing,2.71,2.92,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.4.g,Geography,2.69,2.66,27,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.9.a,Telecommunications,2.59,2.51,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.1.b,Administrative,2.42,2.69,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.7.e,Philosophy and Theology,2.35,2.74,27,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.7.b,Foreign Language,2.26,1.97,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.10,Transportation,2.26,2.32,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.7.d,History and Archeology,2.16,1.85,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.3.e,Mechanical,2.1,1.92,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.4.b,Physics,2.01,1.28,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.3.c,Design,1.91,1.75,28,27,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.5.b,Therapy and Counseling,1.87,1.53,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.3.d,Building and Construction,1.83,1.55,27,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.4.d,Biology,1.74,1.26,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.7.c,Fine Arts,1.7,0.74,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.4.c,Chemistry,1.69,1.38,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.5.a,Medicine and Dentistry,1.51,0.65,28,28,N,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,knowledge,2.C.2.b,Food Production,1.14,,27,,,08/2023,Incumbent,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.7.a,English Language,4.3,4.89,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.1.a,Administration and Management,4.15,5.0,26,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.8.b,Law and Government,3.69,3.89,26,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.9.b,Communications and Media,3.56,3.74,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.3.d,Building and Construction,3.48,3.67,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.1.e,Customer and Personal Service,3.41,4.44,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.6,Education and Training,3.41,4.85,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.1.c,Economics and Accounting,3.19,3.85,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.1.d,Sales and Marketing,3.15,4.33,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.10,Transportation,3.11,3.37,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.4.g,Geography,3.07,4.15,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.4.a,Mathematics,3.0,3.89,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.1.f,Personnel and Human Resources,3.0,3.78,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.4.f,Sociology and Anthropology,3.0,4.0,27,27,N,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,knowledge,2.C.3.b,Engineering and Technology,2.96,3.37,27,27,N,08/2021,Occupational Expert,O*NET
