onet_soc_code,title,element_id,element_name,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),2,Up to and including 1 month,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),3,"Over 1 month, up to and including 3 months",0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),4,"Over 3 months, up to and including 6 months",0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),5,"Over 6 months, up to and including 1 year",0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",9.69,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",5.87,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),9,"Over 6 years, up to and including 8 years",15.09,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),10,"Over 8 years, up to and including 10 years",1.11,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),11,Over 10 years,68.24,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,10.22,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,3.82,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",5.15,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",6.66,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",16.79,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),6,"Over 1 year, up to and including 2 years",0.52,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),7,"Over 2 years, up to and including 4 years",6.62,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),8,"Over 4 years, up to and including 10 years",15.92,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),1,None or short demonstration,4.57,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",8.5,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",5.31,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",13.38,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",9.67,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),6,"Over 1 year, up to and including 2 years",4.6,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),7,"Over 2 years, up to and including 4 years",6.68,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),8,"Over 4 years, up to and including 10 years",12.03,08/2023,Incumbent,O*NET
11-1011.03,Chief Sustainability Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),2,Up to and including 1 month,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),3,"Over 1 month, up to and including 3 months",0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),4,"Over 3 months, up to and including 6 months",0.0,08/2021,Occupational Expert,O*NET
