onet_soc_code,title,element_id,element_name,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
11-1011.00,Chief Executives,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),11,Over 10 years,68.24,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",16.79,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",13.38,08/2023,Incumbent,O*NET
11-1011.03,Chief Sustainability Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",40.74,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,40.74,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),1,None or short demonstration,25.93,08/2021,Occupational Expert,O*NET
11-1021.00,General and Operations Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",24.23,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),7,"Over 2 years, up to and including 4 years",25.62,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),7,"Over 2 years, up to and including 4 years",26.08,08/2023,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",37.57,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",33.06,08/2026,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",33.27,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",27.28,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",43.34,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",17.86,08/2026,Incumbent,O*NET
11-2022.00,Sales Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",38.1,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,30.0,08/2025,Occupational Expert,O*NET
11-2022.00,Sales Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",28.57,08/2025,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",44.44,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,31.43,08/2026,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",22.22,08/2026,Occupational Expert,O*NET
11-2033.00,Fundraising Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),11,Over 10 years,25.56,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,45.3,08/2025,Incumbent,O*NET
11-2033.00,Fundraising Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",16.02,08/2025,Incumbent,O*NET
11-3012.00,Administrative Services Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",31.24,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",34.62,07/2017,Incumbent,O*NET
11-3012.00,Administrative Services Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",48.28,07/2017,Incumbent,O*NET
11-3013.00,Facilities Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",49.01,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",26.16,08/2024,Incumbent,O*NET
11-3013.00,Facilities Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",24.48,08/2024,Incumbent,O*NET
11-3013.01,Security Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",45.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,25.0,08/2025,Occupational Expert,O*NET
11-3013.01,Security Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",20.0,08/2025,Occupational Expert,O*NET
11-3021.00,Computer and Information Systems Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),9,"Over 6 years, up to and including 8 years",40.02,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,31.64,07/2016,Incumbent,O*NET
11-3021.00,Computer and Information Systems Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",32.63,07/2016,Incumbent,O*NET
11-3031.00,Financial Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",41.91,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,34.21,08/2022,Incumbent,O*NET
11-3031.00,Financial Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",39.56,08/2022,Incumbent,O*NET
11-3031.01,Treasurers and Controllers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),11,Over 10 years,48.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,20.0,08/2026,Occupational Expert,O*NET
11-3031.01,Treasurers and Controllers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",21.74,08/2026,Occupational Expert,O*NET
11-3031.03,Investment Fund Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),10,"Over 8 years, up to and including 10 years",28.36,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,27.75,07/2014,Incumbent,O*NET
11-3031.03,Investment Fund Managers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",28.63,07/2014,Incumbent,O*NET
11-3051.00,Industrial Production Managers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",28.44,08/2021,Incumbent,O*NET
11-3051.00,Industrial Production Managers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",17.3,08/2021,Incumbent,O*NET
