occupation_code,onet_code
111131,43-1011.00
111231,11-3031.00
111231,11-3031.01
111331,11-3111.00
111331,11-3121.00
111331,13-1071.00
111431,11-1021.00
111531,11-9041.00
111531,11-9041.01
111531,11-9121.00
112131,11-2011.00
112131,11-2032.00
112133,11-2011.00
112133,11-2021.00
112133,11-2022.00
112231,11-2032.00
112231,27-3031.00
113131,11-3021.00
113131,15-1299.09
113132,11-3021.00
113132,15-1299.09
113231,11-3021.00
113231,15-1299.09
113232,13-1082.00
113232,15-1299.09
121131,11-1011.00
121231,11-1011.00
121231,11-1021.00
121331,11-1011.00
121331,11-1031.00
121332,11-1031.00
131431,13-2023.00
131431,41-9021.00
132233,11-9199.00
133231,11-3061.00
133231,13-1021.00
133231,13-1023.00
133331,11-3061.00
133331,11-3071.04
133331,13-1081.00
141399,11-9111.00
149133,27-2022.00
149199,25-4011.00
149199,25-4012.00
149199,25-4013.00
149999,13-1111.00
151299,45-2092.00
151331,11-9013.00
152933,45-2021.00
152934,45-2021.00
152934,45-2093.00
161631,11-9051.00
161631,35-1011.00
161631,35-2012.00
161932,11-9081.00
161932,37-1011.00
161933,39-1022.00
161933,39-7012.00
162131,41-1011.00
162131,41-1012.00
171131,11-3031.00
171131,13-2061.00
171131,13-2099.04
171231,11-1021.00
171231,11-3012.00
171231,43-1011.00
171331,11-9111.00
171331,43-1011.00
172231,13-1011.00
172231,13-1121.00
172331,11-3013.00
172331,37-1011.00
172532,11-9199.00
211131,11-3031.01
211131,13-2011.00
211131,13-2031.00
211132,11-3031.00
211132,11-3031.01
212131,13-2052.00
212131,43-4141.00
212231,41-3031.00
212332,11-3031.03
212332,13-2051.00
212332,13-2099.01
212333,11-3031.03
212333,13-2051.00
212333,13-2099.01
221131,11-2011.00
221131,11-2032.00
221131,13-1161.00
221231,11-2032.00
221231,11-2033.00
221231,13-1131.00
221431,11-9199.00
221533,13-1161.00
221533,13-1161.01
221533,15-2051.01
221534,11-2011.00
221534,11-2021.00
221534,13-1161.00
221631,41-4011.00
221699,41-4011.00
221699,41-4012.00
221699,41-9031.00
222231,13-1011.00
222231,13-1071.00
222231,27-2012.04
222332,17-2111.00
222332,19-5011.00
222332,19-5012.00
222431,13-1151.00
223131,15-2011.00
223132,15-2021.00
223132,19-2012.00
223132,25-1022.00
223133,13-2099.01
223133,15-2021.00
223133,15-2041.00
223234,15-2051.00
223331,33-3021.06
223331,33-9021.00
223432,13-1082.00
223432,15-2031.00
223933,15-2051.02
231131,27-2011.00
231199,27-2099.00
231231,27-3043.05
231332,27-3011.00
231332,27-3023.00
231332,27-3041.00
231334,27-3042.00
231399,27-3043.00
231399,27-3043.05
231433,27-4021.00
231433,27-4031.00
231433,27-4032.00
231434,27-4032.00
231435,13-1199.00
231435,27-1011.00
231435,27-1019.00
231438,27-1011.00
231438,27-2012.05
231499,13-1011.00
231499,27-2012.04
231531,27-2012.00
231531,27-2012.03
231531,27-2012.05
231631,27-2041.00
231631,27-2042.00
231632,27-2041.00
231632,27-2042.00
231634,27-2041.00
231634,27-2042.00
231699,27-2041.00
231699,27-2042.00
231732,27-1012.00
231732,51-9195.00
231732,51-9195.05
231733,27-1012.00
231733,49-9045.00
231733,51-9195.00
232131,25-4022.00
232131,25-4031.00
232231,21-2011.00
232231,21-2021.00
232331,19-3091.00
232331,19-3093.00
232332,15-1299.03
232332,25-4011.00
232332,25-4012.00
232333,13-2099.01
232333,15-2041.00
232333,19-3011.00
232336,19-3093.00
232336,25-1125.00
232399,13-1041.06
232399,15-1299.02
232399,17-1021.00
241131,11-9041.00
241131,17-1011.00
241131,17-1012.00
241132,17-1011.00
241132,17-1012.00
241132,37-1012.00
