onet_code,skill_code,score,requirement_type,hot_technology,in_demand
11-1011.00,onet-skill:2.A.1.a,82.4,essential_skill,0,0
11-1011.00,onet-skill:2.A.1.b,80,essential_skill,0,0
11-1011.00,onet-skill:2.A.1.c,82.4,essential_skill,0,0
11-1011.00,onet-skill:2.A.1.d,85,essential_skill,0,0
11-1011.00,onet-skill:2.A.1.e,65,essential_skill,0,0
11-1011.00,onet-skill:2.A.1.f,32.400000000000006,essential_skill,0,0
11-1011.00,onet-skill:2.A.2.a,87.6,essential_skill,0,0
11-1011.00,onet-skill:2.A.2.b,75,essential_skill,0,0
11-1011.00,onet-skill:2.A.2.c,62.400000000000006,essential_skill,0,0
11-1011.00,onet-skill:2.A.2.d,80,essential_skill,0,0
11-1011.00,onet-skill:2.B.1.a,82.4,transferable_skill,0,0
11-1011.00,onet-skill:2.B.1.b,85,transferable_skill,0,0
11-1011.00,onet-skill:2.B.1.c,80,transferable_skill,0,0
11-1011.00,onet-skill:2.B.1.d,82.4,transferable_skill,0,0
11-1011.00,onet-skill:2.B.1.e,67.6,transferable_skill,0,0
11-1011.00,onet-skill:2.B.1.f,62.400000000000006,transferable_skill,0,0
11-1011.00,onet-skill:2.B.2.i,87.6,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.a,62.400000000000006,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.b,35,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.c,22.400000000000002,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.d,20,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.e,35,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.g,40,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.h,37.599999999999994,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.j,20,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.k,30,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.l,20,transferable_skill,0,0
11-1011.00,onet-skill:2.B.3.m,37.599999999999994,transferable_skill,0,0
11-1011.00,onet-skill:2.B.4.e,95,transferable_skill,0,0
11-1011.00,onet-skill:2.B.4.g,82.4,transferable_skill,0,0
11-1011.00,onet-skill:2.B.4.h,85,transferable_skill,0,0
11-1011.00,onet-skill:2.B.5.a,80,transferable_skill,0,0
11-1011.00,onet-skill:2.B.5.b,85,transferable_skill,0,0
11-1011.00,onet-skill:2.B.5.c,80,transferable_skill,0,0
11-1011.00,onet-skill:2.B.5.d,85,transferable_skill,0,0
11-1011.00,onet-tool:0c8e1cae0d7f35f4,100,tool,1,1
11-1011.00,onet-tool:0f6eaa9b36a0c37d,55,tool,0,0
11-1011.00,onet-tool:12a5d18ee896e599,80,tool,1,0
11-1011.00,onet-tool:14312a52e994afdb,55,tool,0,0
11-1011.00,onet-tool:1a3934f58028f545,55,tool,0,0
11-1011.00,onet-tool:27a968406bf89628,55,tool,0,0
11-1011.00,onet-tool:32ff1080ac1d49a9,80,tool,1,0
11-1011.00,onet-tool:3e38749c976f5afc,55,tool,0,0
11-1011.00,onet-tool:4315e1b8121f6205,55,tool,0,0
11-1011.00,onet-tool:4c7315d81de1c426,55,tool,0,0
