code,name,kind
onet-skill:2.A.1.a,Reading Comprehension,skill
onet-skill:2.A.1.b,Active Listening,skill
onet-skill:2.A.1.c,Writing,skill
onet-skill:2.A.1.d,Speaking,skill
onet-skill:2.A.1.e,Mathematics,skill
onet-skill:2.A.1.f,Science,skill
onet-skill:2.A.2.a,Critical Thinking,skill
onet-skill:2.A.2.b,Active Learning,skill
onet-skill:2.A.2.c,Learning Strategies,skill
onet-skill:2.A.2.d,Monitoring,skill
onet-skill:2.B.1.a,Social Perceptiveness,skill
onet-skill:2.B.1.b,Coordination,skill
onet-skill:2.B.1.c,Persuasion,skill
onet-skill:2.B.1.d,Negotiation,skill
onet-skill:2.B.1.e,Instructing,skill
onet-skill:2.B.1.f,Service Orientation,skill
onet-skill:2.B.2.i,Complex Problem Solving,skill
onet-skill:2.B.3.a,Operations Analysis,skill
onet-skill:2.B.3.b,Technology Design,skill
onet-skill:2.B.3.c,Equipment Selection,skill
onet-skill:2.B.3.d,Installation,skill
onet-skill:2.B.3.e,Programming,skill
onet-skill:2.B.3.g,Operations Monitoring,skill
onet-skill:2.B.3.h,Operation and Control,skill
onet-skill:2.B.3.j,Equipment Maintenance,skill
onet-skill:2.B.3.k,Troubleshooting,skill
onet-skill:2.B.3.l,Repairing,skill
onet-skill:2.B.3.m,Quality Control Analysis,skill
onet-skill:2.B.4.e,Judgment and Decision Making,skill
onet-skill:2.B.4.g,Systems Analysis,skill
onet-skill:2.B.4.h,Systems Evaluation,skill
onet-skill:2.B.5.a,Time Management,skill
onet-skill:2.B.5.b,Management of Financial Resources,skill
onet-skill:2.B.5.c,Management of Material Resources,skill
onet-skill:2.B.5.d,Management of Personnel Resources,skill
onet-tool:0003ee5d3679a60e,RamSoft PowerServer RIS/PACS,tool
onet-tool:000d4e0f5558dccb,Electric Rain Swift 3D Xpress,tool
onet-tool:000d8bcf4064fc05,RIVERMorph,tool
onet-tool:000f343615ca27ee,Computer drawing software,tool
onet-tool:0032dffc7a075e75,Clinical data management system CDMS,tool
onet-tool:0042a56cb856b3b3,Voxco StatXP,tool
onet-tool:00479cd598180fcd,Kismet,tool
