cricos_provider_code,institution_name,cricos_course_code,course_name,vet_national_code,dual_qualification,course_level,primary_broad_field_code,primary_broad_field_name,primary_narrow_field_code,primary_narrow_field_name,primary_detailed_field_code,primary_detailed_field_name,secondary_broad_field_code,secondary_broad_field_name,secondary_narrow_field_code,secondary_narrow_field_name,secondary_detailed_field_code,secondary_detailed_field_name,foundation_studies,work_component,work_component_hours_per_week,work_component_weeks,work_component_total_hours,course_language,duration_weeks,tuition_fee_aud,non_tuition_fee_aud,estimated_total_course_cost_aud,data_source
00001K,Canberra Institute of Technology,078241E,ACT Year 12 Certificate,,No,Senior Secondary Certificate of Education,12,Mixed Field Programmes,1201,General Education Programmes,120101,General Primary and Secondary Education Programmes,,,,,,,No,No,,,,English,44,13300,150,13450,CRICOS
00001K,Canberra Institute of Technology,091155E,Certificate IV in Mental Health,CHC43315,No,Certificate IV,09,Society and Culture,0905,Human Welfare Studies and Services,090501,Social Work,,,,,,,No,Yes,4.0,20,80,English,52,16980,175,17155,CRICOS
00001K,Canberra Institute of Technology,094149A,Certificate III in Hairdressing,SHB30416,No,Certificate III,11,"Food, Hospitality and Personal Services",1103,Personal Services,110303,Hairdressing,,,,,,,No,Yes,28.0,18,504,English,78,24120,2005,26125,CRICOS
00001K,Canberra Institute of Technology,097541B,English for Study and Life (Elementary),,No,Non AQF Award,09,Society and Culture,0915,Language and Literature,091501,ELICOS,,,,,,,No,No,,,,English,15,3500,175,3675,CRICOS
00001K,Canberra Institute of Technology,097543M,English for Study and Life (Pre-Intermediate),,No,Non AQF Award,09,Society and Culture,0915,Language and Literature,091501,ELICOS,,,,,,,No,No,,,,English,15,3500,175,3675,CRICOS
00001K,Canberra Institute of Technology,097544K,English for Study and Life (Intermediate),,No,Non AQF Award,09,Society and Culture,0915,Language and Literature,091501,ELICOS,,,,,,,No,No,,,,English,15,3500,175,3675,CRICOS
00001K,Canberra Institute of Technology,097545J,English for Study and Life (Upper-Intermediate),,No,Non AQF Award,09,Society and Culture,0915,Language and Literature,091501,ELICOS,,,,,,,No,No,,,,English,15,3500,175,3675,CRICOS
00001K,Canberra Institute of Technology,097546G,English for Study and Life (Advanced),,No,Non AQF Award,09,Society and Culture,0915,Language and Literature,091501,ELICOS,,,,,,,No,No,,,,English,15,3500,175,3675,CRICOS
00001K,Canberra Institute of Technology,097547G,English for Study and Life (Academic),,No,Non AQF Award,09,Society and Culture,0915,Language and Literature,091501,ELICOS,,,,,,,No,No,,,,English,15,3500,175,3675,CRICOS
00001K,Canberra Institute of Technology,104665E,Certificate IV in Building and Construction,CPC40120,No,Certificate IV,04,Architecture and Building,0403,Building,040303,Building Construction Management,,,,,,,No,No,,,,English,78,25470,0,25470,CRICOS
00001K,Canberra Institute of Technology,105812B,Diploma of Graphic Design,CUA50720,No,Diploma,10,Creative Arts,1005,Graphic and Design Studies,100501,Graphic Arts and Design Studies,,,,,,,No,No,,,,English,78,25470,3300,28770,CRICOS
00001K,Canberra Institute of Technology,108479H,Certificate III in Information Technology,ICT30120,No,Certificate III,02,Information Technology,0203,Information Systems,020399,"Information Systems, n.e.c.",,,,,,,No,No,,,,English,26,8040,260,8300,CRICOS
00001K,Canberra Institute of Technology,108480D,Diploma of Information Technology,ICT50220,No,Diploma,02,Information Technology,0203,Information Systems,020399,"Information Systems, n.e.c.",,,,,,,No,No,,,,English,52,16070,380,16450,CRICOS
00001K,Canberra Institute of Technology,108481C,Certificate IV in Information Technology,ICT40120,No,Certificate IV,02,Information Technology,0203,Information Systems,020399,"Information Systems, n.e.c.",,,,,,,No,No,,,,English,52,16560,450,17010,CRICOS
00001K,Canberra Institute of Technology,109721F,Certificate IV in Kitchen Management,SIT40521,No,Certificate IV,11,"Food, Hospitality and Personal Services",1101,Food and Hospitality,110109,Cookery,,,,,,,No,Yes,10.0,20,200,English,26,10140,0,10140,CRICOS
00001K,Canberra Institute of Technology,109752K,Certificate III in Patisserie,SIT31021,No,Certificate III,11,"Food, Hospitality and Personal Services",1101,Food and Hospitality,110107,Baking and Pastrymaking,,,,,,,No,Yes,10.0,40,400,English,52,20290,850,21140,CRICOS
00001K,Canberra Institute of Technology,109761J,Certificate III in Commercial Cookery,SIT30821,No,Certificate III,11,"Food, Hospitality and Personal Services",1101,Food and Hospitality,110109,Cookery,,,,,,,No,Yes,10.0,40,400,English,52,20720,860,21580,CRICOS
00001K,Canberra Institute of Technology,110026H,Certificate IV in Accounting and Bookkeeping,FNS40222,No,Certificate IV,08,Management and Commerce,0801,Accounting,080101,Accounting,,,,,,,No,No,,,,English,26,8040,450,8490,CRICOS
00001K,Canberra Institute of Technology,110030A,Certificate III in Accounts Administration,FNS30322,No,Certificate III,08,Management and Commerce,0801,Accounting,080101,Accounting,,,,,,,No,No,,,,English,26,8040,325,8365,CRICOS
00001K,Canberra Institute of Technology,110727A,Certificate III in Early Childhood Education and Care,CHC30121,No,Certificate III,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,,,,,,,No,Yes,42.0,6,252,English,52,16980,223,17203,CRICOS
00001K,Canberra Institute of Technology,111244A,Diploma of Visual Arts,CUA51120,No,Diploma,10,Creative Arts,1003,Visual Arts and Crafts,100399,"Visual Arts and Crafts, n.e.c.",,,,,,,No,No,,,,English,52,16980,525,17505,CRICOS
00001K,Canberra Institute of Technology,111262K,Diploma of Early Childhood Education and Care,CHC50121,No,Diploma,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,,,,,,,No,Yes,15.6,18,281,English,52,16980,0,16980,CRICOS
00001K,Canberra Institute of Technology,112086B,Advanced Diploma of Graphic Design,CUA60320,No,Advanced Diploma,10,Creative Arts,1005,Graphic and Design Studies,100501,Graphic Arts and Design Studies,,,,,,,No,No,,,,English,52,16980,3420,20400,CRICOS
00001K,Canberra Institute of Technology,112087A,Diploma of Beauty Therapy,SHB50121,No,Diploma,11,"Food, Hospitality and Personal Services",1103,Personal Services,110301,Beauty Therapy,,,,,,,No,Yes,6.0,18,108,English,52,16070,2294,18364,CRICOS
00001K,Canberra Institute of Technology,112089K,Certificate III in Hospitality,SIT30622,No,Certificate III,11,"Food, Hospitality and Personal Services",1101,Food and Hospitality,110101,Hospitality,,,,,,,No,Yes,12.0,18,216,English,26,8040,250,8290,CRICOS
00001K,Canberra Institute of Technology,112091E,Advanced Diploma of Accounting,FNS60222,No,Advanced Diploma,08,Management and Commerce,0801,Accounting,080101,Accounting,,,,,,,No,Yes,7.5,17,128,English,26,8040,740,8780,CRICOS
00001K,Canberra Institute of Technology,112092D,Diploma of Accounting,FNS50222,No,Diploma,08,Management and Commerce,0801,Accounting,080101,Accounting,,,,,,,No,No,,,,English,26,8040,615,8655,CRICOS
00001K,Canberra Institute of Technology,112093C,Certificate IV in Beauty Therapy,SHB40121,No,Certificate IV,11,"Food, Hospitality and Personal Services",1103,Personal Services,110301,Beauty Therapy,,,,,,,No,Yes,6.0,18,108,English,52,16070,1436,17506,CRICOS
00001K,Canberra Institute of Technology,112865H,Diploma of Nursing,HLT54121,No,Diploma,06,Health,0603,Nursing,060301,General Nursing,,,,,,,No,Yes,7.4,54,400,English,78,31320,6845,38165,CRICOS
00001K,Canberra Institute of Technology,113462H,Diploma of Hospitality Management,SIT50422,No,Diploma,08,Management and Commerce,0803,Business and Management,080319,Hospitality Management,,,,,,,No,No,,,,English,26,10140,50,10190,CRICOS
00001K,Canberra Institute of Technology,113905H,Diploma of Travel and Tourism Management,SIT50122,No,Diploma,08,Management and Commerce,0803,Business and Management,080323,Tourism Management,,,,,,,No,Yes,10.0,7,70,English,52,16070,150,16220,CRICOS
00001K,Canberra Institute of Technology,114025K,Certificate III in Individual Support,CHC33021,No,Certificate III,09,Society and Culture,0905,Human Welfare Studies and Services,090507,Care for the Aged,,,,,,,No,Yes,24.0,5,120,English,26,8490,802,9292,CRICOS
00001K,Canberra Institute of Technology,117647M,Course in Crystalline Silica Exposure Prevention,,No,Non AQF Award,04,Architecture and Building,0403,Building,040399,"Building, n.e.c.",,,,,,,No,Yes,4.0,1,4,English,1,340,0,340,CRICOS
00001K,Canberra Institute of Technology,117648K,Course in Asbestos Awareness,,No,Non AQF Award,04,Architecture and Building,0403,Building,040399,"Building, n.e.c.",,,,,,,No,Yes,4.0,1,4,English,1,190,0,190,CRICOS
00001K,Canberra Institute of Technology,117649J,Prepare to work safely in the construction industry,CPCWHS1001,No,Vocational Short Course,04,Architecture and Building,0403,Building,040399,"Building, n.e.c.",,,,,,,No,No,,,,English,0,150,0,150,CRICOS
00001K,Canberra Institute of Technology,118566D,Diploma of Early Childhood Education and Care,CHC50125,No,Diploma,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,,,,,,,No,Yes,16.0,18,288,English,46,17540,42,17582,CRICOS
00001K,Canberra Institute of Technology,119569D,Certificate III in Early Childhood Education and Care,CHC30125,No,Certificate III,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,,,,,,,No,Yes,42.0,6,252,English,46,17540,223,17763,CRICOS
00001K,Canberra Institute of Technology,120900K,Diploma of Community Services,CHC52025,No,Diploma,09,Society and Culture,0905,Human Welfare Studies and Services,090515,Welfare Studies,,,,,,,No,Yes,5.6,18,101,English,38,17580,175,17755,CRICOS
00001K,Canberra Institute of Technology,120925A,Certificate IV in Community Services,CHC42021,No,Certificate IV,09,Society and Culture,0905,Human Welfare Studies and Services,090515,Welfare Studies,,,,,,,No,No,,,,English,38,16200,150,16350,CRICOS
00002J,Macquarie University (Macquarie),001357G,Bachelor of Arts,,No,Bachelor Degree,09,Society and Culture,0903,Studies in Human Society,090300,"Studies in Human Society, n.f.d.",,,,,,,No,No,0.0,0,0,English,156,128500,1119,129619,CRICOS
00002J,Macquarie University (Macquarie),001359E,Bachelor of Arts - Psychology,,No,Bachelor Degree,09,Society and Culture,0907,Behavioural Science,090701,Psychology,,,,,,,No,No,0.0,0,0,English,156,123000,1119,124119,CRICOS
00002J,Macquarie University (Macquarie),001362K,Bachelor of Economics,,No,Bachelor Degree,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,,,,,,,No,No,0.0,0,0,English,156,146500,1119,147619,CRICOS
00002J,Macquarie University (Macquarie),001365G,Bachelor of Science,,No,Bachelor Degree,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019999,"Natural and Physical Sciences, n.e.c.",,,,,,,No,No,0.0,0,0,English,156,142300,1119,143419,CRICOS
00002J,Macquarie University (Macquarie),001371J,Bachelor of Arts with the degree of Bachelor of Laws,,Yes,Bachelor Degree,09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",09,Society and Culture,0909,Law,090900,"Law, n.f.d.",No,No,0.0,0,0,English,260,259500,1865,261365,CRICOS
00002J,Macquarie University (Macquarie),001396M,Master of Clinical Psychology,,No,Masters Degree (Coursework),09,Society and Culture,0907,Behavioural Science,090701,Psychology,,,,,,,No,Yes,14.0,75,,English,104,104000,746,104746,CRICOS
00002J,Macquarie University (Macquarie),001403F,Doctor of Philosophy (Arts),,No,Doctoral Degree,09,Society and Culture,0900,Society and Culture,090000,"Society and Culture, n.f.d.",,,,,,,No,No,,,,English,156,131800,0,131800,CRICOS
00002J,Macquarie University (Macquarie),001404E,Doctor of Philosophy (Science and Engineering),,No,Doctoral Degree,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",,,,,,,No,No,,,,English,156,168600,0,168600,CRICOS
00002J,Macquarie University (Macquarie),008653J,Study Abroad,,No,Non AQF Award,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,0.0,0,0,English,26,11900,0,11900,CRICOS
00002J,Macquarie University (Macquarie),0100138,Graduate Certificate of Education,,No,Graduate Certificate,07,Education,0703,Curriculum and Education Studies,070300,"Curriculum and Education Studies, n.f.d",,,,,,,No,No,,,,English,26,19400,186.5,19586.5,CRICOS
00002J,Macquarie University (Macquarie),0100139,Master of Business Analytics,,No,Masters Degree (Coursework),02,Information Technology,0203,Information Systems,020307,Decision Support Systems,,,,,,,No,No,,,,English,104,97900,746,98646,CRICOS
