course_level,active_cricos_course_count,unique_course_name_count,provider_count,data_source
Advanced Diploma,1666,103,691,CRICOS
Associate Degree,242,199,55,CRICOS
Bachelor Degree,3878,2391,170,CRICOS
Bachelor Honours Degree,1461,961,43,CRICOS
Certificate I,6,3,5,CRICOS
Certificate II,102,26,86,CRICOS
Certificate III,2392,114,723,CRICOS
Certificate IV,1954,118,756,CRICOS
Diploma,4153,525,1007,CRICOS
Doctoral Degree,881,606,51,CRICOS
Graduate Certificate,1038,680,124,CRICOS
Graduate Diploma,1495,664,595,CRICOS
Junior Secondary Studies,241,95,235,CRICOS
Masters Degree (Coursework),3290,1908,145,CRICOS
Masters Degree (Extended),68,44,23,CRICOS
Masters Degree (Research),783,565,59,CRICOS
Non AQF Award,1716,1094,496,CRICOS
Primary School Studies,246,126,234,CRICOS
Senior Secondary Certificate of Education,327,133,297,CRICOS
Vocational Short Course,39,28,17,CRICOS
