course_name,course_level,active_cricos_course_count,provider_count,primary_field_codes,primary_field_names,data_source
Advanced Diploma in Arts,Advanced Diploma,1,1,090000,"Society and Culture, n.f.d.",CRICOS
Advanced Diploma in Criminology and Justice,Advanced Diploma,1,1,091199,"Justice and Law Enforcement, n.e.c.",CRICOS
Advanced Diploma in Philosophy,Advanced Diploma,1,1,091703,Religious Studies,CRICOS
Advanced Diploma in Theology and Ministry,Advanced Diploma,1,1,091703,Religious Studies,CRICOS
Advanced Diploma of Accounting,Advanced Diploma,53,45,080101,Accounting,CRICOS
Advanced Diploma of Acting,Advanced Diploma,2,1,100103; 100199,"Drama and Theatre Studies; Performing Arts, n.e.c.",CRICOS
Advanced Diploma of Acting for Contemporary Screen Media,Advanced Diploma,1,1,100199,"Performing Arts, n.e.c.",CRICOS
Advanced Diploma of Agribusiness,Advanced Diploma,1,1,050199,"Agriculture, n.e.c.",CRICOS
Advanced Diploma of Agribusiness Management,Advanced Diploma,4,4,080321; 080399,"Business and Management, n.e.c.; Farm Management and Agribusiness",CRICOS
Advanced Diploma of Air Conditioning and Refrigeration Engineering,Advanced Diploma,2,2,031315,Refrigeration and Air Conditioning Mechanics,CRICOS
Advanced Diploma of Animation,Advanced Diploma,1,1,100399,"Visual Arts and Crafts, n.e.c.",CRICOS
"Advanced Diploma of Apparel, Fashion and Textiles",Advanced Diploma,2,2,100505,Fashion Design,CRICOS
Advanced Diploma of Applied Blockchain,Advanced Diploma,3,2,029999,"Information Technology, n.e.c.",CRICOS
Advanced Diploma of Applied Fashion Design and Merchandising,Advanced Diploma,2,2,100505,Fashion Design,CRICOS
Advanced Diploma of Applied Science (Marine Engineering),Advanced Diploma,1,1,031705,Marine Craft Operation,CRICOS
Advanced Diploma of Applied Science (Nautical Science),Advanced Diploma,1,1,031705,Marine Craft Operation,CRICOS
Advanced Diploma of Art (Musical Theatre and Commercial Dance),Advanced Diploma,1,1,100105,Dance,CRICOS
Advanced Diploma of Artificial Intelligence (AI),Advanced Diploma,3,3,020119,Artificial Intelligence,CRICOS
Advanced Diploma of Aviation (Pilot in Command),Advanced Diploma,1,1,031505,Aircraft Operation,CRICOS
Advanced Diploma of Ayurveda,Advanced Diploma,3,3,061901; 061999,"Complementary Therapies, n.e.c.; Naturopathy",CRICOS
Advanced Diploma of Banking Services Management,Advanced Diploma,5,5,081199,"Banking, Finance and Related Fields, n.e.c.",CRICOS
"Advanced Diploma of Bible, Mission and Ministry",Advanced Diploma,1,1,091703,Religious Studies,CRICOS
Advanced Diploma of Buddhist Studies,Advanced Diploma,1,1,091700,"Philosophy and Religious Studies, n.f.d",CRICOS
Advanced Diploma of Building Design (Architectural),Advanced Diploma,5,5,040101; 040199,"Architecture; Architecture and Urban Environment, n.e.c.",CRICOS
Advanced Diploma of Building Surveying,Advanced Diploma,1,1,040305,Building Surveying,CRICOS
Advanced Diploma of Building and Construction (Management),Advanced Diploma,4,4,040303,Building Construction Management,CRICOS
Advanced Diploma of Business,Advanced Diploma,155,154,080300; 080301; 080303; 080307; 080311; 080319; 080323; 080399,"Business Management; Business and Management, n.e.c.; Business and Management, n.f.d.; Hospitality Management; Human Resource Management; International Business; Organisation Management; Tourism Management",CRICOS
Advanced Diploma of Business (Food Entrepreneurship),Advanced Diploma,1,1,080319,Hospitality Management,CRICOS
Advanced Diploma of Business (International Hotel Management),Advanced Diploma,1,1,080319,Hospitality Management,CRICOS
Advanced Diploma of Business (International Restaurant Management),Advanced Diploma,1,1,080319,Hospitality Management,CRICOS
Advanced Diploma of Christian Ministry,Advanced Diploma,1,1,091703,Religious Studies,CRICOS
Advanced Diploma of Christian Ministry and Theology,Advanced Diploma,6,4,091700; 091703,"Philosophy and Religious Studies, n.f.d; Religious Studies",CRICOS
Advanced Diploma of Civil Construction Design,Advanced Diploma,171,171,030900; 030901; 030903; 030905; 030911; 030999,"Building Services Engineering; Civil Engineering, n.e.c.; Civil Engineering, n.f.d.; Construction Engineering; Geotechnical Engineering; Structural Engineering",CRICOS
Advanced Diploma of Civil and Structural Engineering,Advanced Diploma,2,1,030900,"Civil Engineering, n.f.d.",CRICOS
Advanced Diploma of Commerce,Advanced Diploma,1,1,080101,Accounting,CRICOS
