qualification_code,qualification_title,osca_code,osca_description,pathway,special_conditions,special_conditions_description,jsc
ACM10121,Certificate I in Animal Care Industry Pathways,461431,Dog Walker,Pre-vocational,,,Skills Insight
ACM10121,Certificate I in Animal Care Industry Pathways,461499,Domestic Animal Care Workers nec,Pre-vocational,,,Skills Insight
ACM10121,Certificate I in Animal Care Industry Pathways,461432,Domestic Animal Attendant,Pre-vocational,,,Skills Insight
ACM20121,Certificate II in Animal Care,341199,Animal Trainers and Zookeepers nec,Progression pathway,,,Skills Insight
ACM20121,Certificate II in Animal Care,341231,Veterinary Nurse,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM20121,Certificate II in Animal Care,461499,Domestic Animal Care Workers nec,Progression pathway,,,Skills Insight
ACM20121,Certificate II in Animal Care,341131,Dog Handler or Trainer,Progression pathway,,,Skills Insight
ACM20121,Certificate II in Animal Care,461432,Domestic Animal Attendant,Progression pathway,,,Skills Insight
ACM20121,Certificate II in Animal Care,311132,Animal Husbandry Technician,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM20121,Certificate II in Animal Care,461431,Dog Walker,Related,,,Skills Insight
ACM20221,Certificate II in Horse Care,841238,Stablehand,Occupation ready,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM30122,Certificate III in Animal Care Services,461499,Domestic Animal Care Workers nec,Specialised training,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,461433,Pet Groomer,Specialised training,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,461432,Domestic Animal Attendant,Specialised training,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,341199,Animal Trainers and Zookeepers nec,Progression pathway,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,172931,Boarding Kennel or Cattery Operator,Progression pathway,,,Skills Insight
ACM30122,Certificate III in Animal Care Services,341231,Veterinary Nurse,Progression pathway,Licensing and registration may be required.,Licensing and regulation requirements apply to this occupation in some circumstances. Contact your state or territory government for further information.,Skills Insight
ACM30122,Certificate III in Animal Care Services,341131,Dog Handler or Trainer,Progression pathway,,,Skills Insight
ACM30219,Certificate III in Animal Technology,461499,Domestic Animal Care Workers nec,Specialised training,,,Skills Insight
ACM30219,Certificate III in Animal Technology,461432,Domestic Animal Attendant,Specialised training,,,Skills Insight
ACM30219,Certificate III in Animal Technology,341199,Animal Trainers and Zookeepers nec,Progression pathway,,,Skills Insight
