anzsco4_code,occupation,description,employed,median_weekly_earnings_aud,median_age,annual_employment_growth,average_full_time_hours_worked_per_week,vacancies_aust_jul_2026,vacancies_nsw_jul_2026,vacancies_vic_jul_2026,vacancies_qld_jul_2026,vacancies_sa_jul_2026,vacancies_wa_jul_2026,vacancies_tas_jul_2026,vacancies_nt_jul_2026,vacancies_act_jul_2026,employment_may_2025_thousands,employment_may_2030_thousands,employment_may_2035_thousands,change_5y_thousands,change_5y_pct,change_10y_thousands,change_10y_pct
1111,Chief Executives and Managing Directors,"Chief Executives and Managing Directors determine, formulate and review the general policy programs and the overall direction of organisations within the framework established by boards of directors and similar governing bodies.",63000,,50,3400,50,369.33333,117.66667,92.33333,66.33333,25.33333,33.33333,8.33333,12.0,14.0,61.1931474092206,65.3877536346177,69.8156003671647,4.194606225397095,6.854699264520998,8.622452957944105,14.090553146878781
1112,General Managers,"General Managers plan, organise, direct, control and review the day-to-day operations and major functions of commercial, industrial, government and defence organisations through departmental managers and subordinate executives.",69300,,48,-400,47,719.66667,213.33333,189.33333,157.66667,45.33333,79.0,12.66667,10.33333,12.0,71.3232207735316,75.9364325674704,81.1273519272728,4.613211793938802,6.468036277535559,9.804131153741196,13.746057801948783
1113,Legislators,"Legislators represent the interests of people in constituencies as elected members of national, state and territory parliaments and local government authorities.",2700,,54,-200,52,,,,,,,,,,2.8300233042979,2.9980818503935103,3.13715558706066,0.16805854609561033,5.9384156250721745,0.30713228276276006,10.85264147105518
1211,Aquaculture Farmers,"Aquaculture Farmers plan, organise, control, coordinate and perform farming operations to breed and raise fish and other aquatic stock.",1900,,47,0,46,2.66667,2.0,0.0,0.0,0.33333,0.0,0.33333,0.0,0.0,1.87342628649597,2.03589684857681,2.20232702500067,0.16247056208083976,8.672375489335233,0.3289007385046998,17.55610780501383
1212,Crop Farmers,"Crop Farmers plan, organise, control, coordinate and perform farming operations to grow crops.",34700,,52,-600,51,20.0,3.33333,5.66667,1.0,5.66667,2.66667,1.66667,0.0,0.0,33.1571161970379,32.8917729423759,34.684595855166,-0.2653432546619996,-0.800260351609541,1.527479658128101,4.606792849688655
1213,Livestock Farmers,"Livestock Farmers plan, organise, control, coordinate and perform farming operations to breed and raise livestock.",72400,,60,-4000,55,60.33333,17.0,14.33333,14.66667,5.66667,7.0,1.66667,0.0,0.0,78.8707065628769,76.57814172608549,79.8245496643315,-2.2925648367914135,-2.9067380485094887,0.9538431014545949,1.209375626290576
1214,Mixed Crop and Livestock Farmers,"Mixed Crop and Livestock Farmers plan, organise, control, coordinate and perform farming operations to both grow crops and to breed and raise livestock.",28300,,56,500,55,114.0,27.66667,35.33333,19.0,9.33333,15.33333,4.66667,2.0,0.66667,27.5863301143859,26.846328348800203,27.984511858035702,-0.7400017655856956,-2.682494418493871,0.3981817436498041,1.443402373562396
1311,"Advertising, Public Relations and Sales Manager","Advertising, Public Relations and Sales Managers plan, organise, direct, control and coordinate advertising, public relations, sales and marketing activities within organisations.",167100,2677,42,2400,44,4703.66667,1723.33333,1189.33333,985.33333,231.33333,446.33333,39.66667,18.0,70.33333,165.39522882996602,180.877568502329,194.351351246657,15.482339672362997,9.36081396173741,28.956122416690988,17.50722957459627
1321,Corporate Services Managers,"Corporate Services Managers plan, organise, direct, control and coordinate the overall administration of organisations.",23000,2932,48,400,44,678.0,200.0,157.33333,156.0,62.0,67.33333,9.33333,9.33333,16.66667,21.673195128345,24.400450106263097,26.412464777034202,2.727254977918097,12.583539075654299,4.739269648689202,21.8669634109048
1322,Finance Managers,"Finance Managers plan, organise, direct, control and coordinate the financial and accounting activities within organisations.",77900,2904,45,2100,45,934.0,356.66667,243.66667,184.0,44.0,71.33333,10.33333,7.66667,16.33333,76.3017952531336,85.761343136816,92.97445246963949,9.45954788368239,12.397543009702513,16.672657216505883,21.850937007699255
1323,Human Resource Managers,"Human Resource Managers plan, organise, direct, control and coordinate the human resource and workplace relations activities within organisations.",95300,2768,44,1000,45,594.66667,179.0,167.33333,116.0,30.33333,68.0,8.66667,11.0,14.33333,92.88904449310459,104.40110500636,113.121209433154,11.512060513255406,12.39334582035665,20.2321649400494,21.781002324285176
1324,Policy and Planning Managers,"Policy and Planning Managers plan, organise, direct, control and coordinate policy advice and strategic planning within organisations.",41900,2945,45,2800,44,1697.0,541.66667,397.33333,330.0,97.0,209.66667,26.0,31.0,64.33333,39.317417308810604,44.0651169931837,47.304204775761306,4.747699684373096,12.075309136109476,7.986787466950702,20.313611660247453
1325,Research and Development Managers,"Research and Development Managers plan, organise, direct, control and coordinate research and development activities within organisations.",20500,2887,48,1100,44,119.0,46.33333,32.33333,18.66667,4.33333,12.0,0.0,0.33333,5.0,19.796648144175098,22.3326002105873,24.3075461368501,2.5359520664122037,12.810007269631521,4.510897992675002,22.78617046594463
1331,Construction Managers,"Construction Managers plan, organise, direct, control and coordinate the construction of civil engineering projects, buildings and dwellings, and the physical and human resources involved in building and construction.",134300,3751,42,2700,47,3938.0,1136.33333,795.33333,997.33333,266.66667,519.33333,37.0,49.0,137.0,128.187768551921,147.311066271144,156.627423036549,19.12329771922299,14.918192223213023,28.439654484627994,22.185934591028342
1332,Engineering Managers,"Engineering Managers plan, organise, direct, control and coordinate the engineering and technical operations of organisations.",33500,3519,45,1100,45,344.0,115.66667,74.33333,74.66667,21.0,43.0,3.0,3.0,9.33333,34.7598812479904,37.6416606394229,40.2549940914467,2.8817793914325023,8.290532901630982,5.4951128434562975,15.808779104428014
