state,anzsic_level,nfd_indicator,anzsic_code,anzsic_title,industry_1_digit_code,date,employment_thousands
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1986-08-01,0.510865306686988
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1986-11-01,0.515305840742998
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1987-02-01,0.519742645426142
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1987-05-01,0.52435513644369
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1987-08-01,0.529319414480078
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1987-11-01,0.534957505811529
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1988-02-01,0.541596912003312
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1988-05-01,0.549456463754962
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1988-08-01,0.558486388300691
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1988-11-01,0.56861410551074
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1989-02-01,0.580029751940216
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1989-05-01,0.592675622972539
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1989-08-01,0.606289724775609
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1989-11-01,0.620745655160743
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1990-02-01,0.636038559470084
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1990-05-01,0.652275427638181
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1990-08-01,0.669669662302704
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1990-11-01,0.688183350166622
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1991-02-01,0.707579270536644
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1991-05-01,0.727485622756526
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1991-08-01,0.747514730680287
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1991-11-01,0.767320344896034
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1992-02-01,0.786900044678103
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1992-05-01,0.806130807101535
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1992-08-01,0.824822796263315
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1992-11-01,0.842601191030376
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1993-02-01,0.858904894433026
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1993-05-01,0.873205028653042
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1993-08-01,0.884997906983694
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1993-11-01,0.893961339316948
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1994-02-01,0.89994303387928
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1994-05-01,0.902746237823779
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1994-08-01,0.902433119267104
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1994-11-01,0.899134025450555
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1995-02-01,0.893086565667225
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1995-05-01,0.884510980831439
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1995-08-01,0.874237353477834
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1995-11-01,0.863246564373167
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1996-02-01,0.852375553883809
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1996-05-01,0.842456710209579
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1996-08-01,0.834294119103145
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1996-11-01,0.828435777891846
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1997-02-01,0.825112680068274
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1997-05-01,0.824383360981094
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1997-08-01,0.826001123959751
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1997-11-01,0.829524358814787
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1998-02-01,0.834346526288094
ACT,1,N,A,"Agriculture, Forestry and Fishing",A,1998-05-01,0.839737478241997
