level,state,region_name,region_code,region_level,anzsco_code,anzsco_title,date,vacancies
1,NSW,Greater Sydney,1GSYD,GCCSA,0,Greater Sydney TOTAL,2026-07-01,42880
2,NSW,Greater Sydney,1GSYD,GCCSA,1,MANAGERS,2026-07-01,6593
3,NSW,Greater Sydney,1GSYD,GCCSA,11,"Chief Executives, Managing Directors & Legislators",2026-07-01,268
3,NSW,Greater Sydney,1GSYD,GCCSA,12,Farmers and Farm Managers,2026-07-01,8
3,NSW,Greater Sydney,1GSYD,GCCSA,14,"Hospitality, Retail and Service Managers",2026-07-01,1716
3,NSW,Greater Sydney,1GSYD,GCCSA,1A,Corporate Managers,2026-07-01,2618
3,NSW,Greater Sydney,1GSYD,GCCSA,1B,"Construction, Production and Distribution Managers",2026-07-01,1457
3,NSW,Greater Sydney,1GSYD,GCCSA,1C,"Health, Education, ICT and Other Managers",2026-07-01,526
2,NSW,Greater Sydney,1GSYD,GCCSA,2,PROFESSIONALS,2026-07-01,12657
3,NSW,Greater Sydney,1GSYD,GCCSA,21,Arts and Media Professionals,2026-07-01,308
3,NSW,Greater Sydney,1GSYD,GCCSA,24,Education Professionals,2026-07-01,510
3,NSW,Greater Sydney,1GSYD,GCCSA,26,ICT Professionals,2026-07-01,1994
3,NSW,Greater Sydney,1GSYD,GCCSA,27,"Legal, Social and Welfare Professionals",2026-07-01,1582
3,NSW,Greater Sydney,1GSYD,GCCSA,2A,"Business, Finance and Human Resource Professionals",2026-07-01,2131
3,NSW,Greater Sydney,1GSYD,GCCSA,2B,Information Professionals,2026-07-01,564
3,NSW,Greater Sydney,1GSYD,GCCSA,2C,"Sales, Marketing & Public Relations Professionals",2026-07-01,888
3,NSW,Greater Sydney,1GSYD,GCCSA,2D,"Transport and Design Professionals, and Architects",2026-07-01,545
3,NSW,Greater Sydney,1GSYD,GCCSA,2E,Engineers,2026-07-01,896
3,NSW,Greater Sydney,1GSYD,GCCSA,2F,Science Professionals and Veterinarians,2026-07-01,172
3,NSW,Greater Sydney,1GSYD,GCCSA,2G,Health Diagnostic and Therapy Professionals,2026-07-01,1204
3,NSW,Greater Sydney,1GSYD,GCCSA,2H,Medical Practitioners and Nurses,2026-07-01,1864
