level,state,region,anzsco_code,anzsco_title,date,vacancies
1,NSW,"Blue Mountains, Bathurst & Central West NSW",0,"Blue Mountains, Bathurst & Central West NSW TOTAL",2026-07-01,2247
2,NSW,"Blue Mountains, Bathurst & Central West NSW",1,MANAGERS,2026-07-01,182.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",11,"Chief Executives, Managing Directors & Legislators",2026-07-01,5
3,NSW,"Blue Mountains, Bathurst & Central West NSW",12,Farmers and Farm Managers,2026-07-01,3.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",14,"Hospitality, Retail and Service Managers",2026-07-01,78.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",1A,Corporate Managers,2026-07-01,45.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",1B,"Construction, Production and Distribution Managers",2026-07-01,36
3,NSW,"Blue Mountains, Bathurst & Central West NSW",1C,"Health, Education, ICT and Other Managers",2026-07-01,14.333
2,NSW,"Blue Mountains, Bathurst & Central West NSW",2,PROFESSIONALS,2026-07-01,780.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",21,Arts and Media Professionals,2026-07-01,9
3,NSW,"Blue Mountains, Bathurst & Central West NSW",24,Education Professionals,2026-07-01,32.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",26,ICT Professionals,2026-07-01,10.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",27,"Legal, Social and Welfare Professionals",2026-07-01,158
3,NSW,"Blue Mountains, Bathurst & Central West NSW",2A,"Business, Finance and Human Resource Professionals",2026-07-01,38.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",2B,Information Professionals,2026-07-01,11
3,NSW,"Blue Mountains, Bathurst & Central West NSW",2C,"Sales, Marketing & Public Relations Professionals",2026-07-01,8.667
3,NSW,"Blue Mountains, Bathurst & Central West NSW",2D,"Transport and Design Professionals, and Architects",2026-07-01,10.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",2E,Engineers,2026-07-01,42
3,NSW,"Blue Mountains, Bathurst & Central West NSW",2F,Science Professionals and Veterinarians,2026-07-01,14.667
3,NSW,"Blue Mountains, Bathurst & Central West NSW",2G,Health Diagnostic and Therapy Professionals,2026-07-01,65
3,NSW,"Blue Mountains, Bathurst & Central West NSW",2H,Medical Practitioners and Nurses,2026-07-01,380.667
2,NSW,"Blue Mountains, Bathurst & Central West NSW",3,TECHNICIANS AND TRADES WORKERS,2026-07-01,318
3,NSW,"Blue Mountains, Bathurst & Central West NSW",31,"Engineering, ICT and Science Technicians",2026-07-01,37.667
3,NSW,"Blue Mountains, Bathurst & Central West NSW",32,Automotive and Engineering Trades Workers,2026-07-01,110.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",33,Construction Trades Workers,2026-07-01,22.667
3,NSW,"Blue Mountains, Bathurst & Central West NSW",34,Electrotechnology and Telecommunications Trades Workers,2026-07-01,52.667
3,NSW,"Blue Mountains, Bathurst & Central West NSW",35,Food Trades Workers,2026-07-01,56
3,NSW,"Blue Mountains, Bathurst & Central West NSW",36,Skilled Animal and Horticultural Workers,2026-07-01,11.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",3A,"Hairdressers, Printing, Clothing and Wood Trades Workers",2026-07-01,7.667
3,NSW,"Blue Mountains, Bathurst & Central West NSW",3B,"Jewellers, Arts and Other Trades Workers",2026-07-01,19.667
2,NSW,"Blue Mountains, Bathurst & Central West NSW",4,COMMUNITY AND PERSONAL SERVICE WORKERS,2026-07-01,261.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",41,Health and Welfare Support Workers,2026-07-01,32.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",42,Carers and Aides,2026-07-01,163.667
3,NSW,"Blue Mountains, Bathurst & Central West NSW",43,Hospitality Workers,2026-07-01,40.333
3,NSW,"Blue Mountains, Bathurst & Central West NSW",44,Protective Service Workers,2026-07-01,7.333
