level,anzsco_code,title,state,date,vacancies
1,0,AUSTRALIAN TOTAL,AUST,2006-01-01,214055.982
1,0,AUSTRALIAN TOTAL,AUST,2006-02-01,216604.544
1,0,AUSTRALIAN TOTAL,AUST,2006-03-01,218891.445
1,0,AUSTRALIAN TOTAL,AUST,2006-04-01,220282.59
1,0,AUSTRALIAN TOTAL,AUST,2006-05-01,220551.601
1,0,AUSTRALIAN TOTAL,AUST,2006-06-01,220573.409
1,0,AUSTRALIAN TOTAL,AUST,2006-07-01,222079.343
1,0,AUSTRALIAN TOTAL,AUST,2006-08-01,225500.35
1,0,AUSTRALIAN TOTAL,AUST,2006-09-01,229850.327
1,0,AUSTRALIAN TOTAL,AUST,2006-10-01,234206.31
1,0,AUSTRALIAN TOTAL,AUST,2006-11-01,238374.391
1,0,AUSTRALIAN TOTAL,AUST,2006-12-01,243318.288
1,0,AUSTRALIAN TOTAL,AUST,2007-01-01,249674.69
1,0,AUSTRALIAN TOTAL,AUST,2007-02-01,256971.44
1,0,AUSTRALIAN TOTAL,AUST,2007-03-01,263199.807
1,0,AUSTRALIAN TOTAL,AUST,2007-04-01,267501.445
1,0,AUSTRALIAN TOTAL,AUST,2007-05-01,270594.452
1,0,AUSTRALIAN TOTAL,AUST,2007-06-01,273969.013
1,0,AUSTRALIAN TOTAL,AUST,2007-07-01,277635.261
1,0,AUSTRALIAN TOTAL,AUST,2007-08-01,281109.719
1,0,AUSTRALIAN TOTAL,AUST,2007-09-01,284347.549
1,0,AUSTRALIAN TOTAL,AUST,2007-10-01,288464.148
1,0,AUSTRALIAN TOTAL,AUST,2007-11-01,293941.153
1,0,AUSTRALIAN TOTAL,AUST,2007-12-01,299697.654
1,0,AUSTRALIAN TOTAL,AUST,2008-01-01,303733.865
1,0,AUSTRALIAN TOTAL,AUST,2008-02-01,305280.74
1,0,AUSTRALIAN TOTAL,AUST,2008-03-01,305212.169
1,0,AUSTRALIAN TOTAL,AUST,2008-04-01,304687.314
1,0,AUSTRALIAN TOTAL,AUST,2008-05-01,302592.07
1,0,AUSTRALIAN TOTAL,AUST,2008-06-01,297001.645
1,0,AUSTRALIAN TOTAL,AUST,2008-07-01,287505.206
1,0,AUSTRALIAN TOTAL,AUST,2008-08-01,275429.432
1,0,AUSTRALIAN TOTAL,AUST,2008-09-01,262576.958
1,0,AUSTRALIAN TOTAL,AUST,2008-10-01,248726.098
1,0,AUSTRALIAN TOTAL,AUST,2008-11-01,233244.456
1,0,AUSTRALIAN TOTAL,AUST,2008-12-01,215787.867
1,0,AUSTRALIAN TOTAL,AUST,2009-01-01,198284.695
1,0,AUSTRALIAN TOTAL,AUST,2009-02-01,182996.888
1,0,AUSTRALIAN TOTAL,AUST,2009-03-01,171679.274
1,0,AUSTRALIAN TOTAL,AUST,2009-04-01,164294.402
1,0,AUSTRALIAN TOTAL,AUST,2009-05-01,160545.054
1,0,AUSTRALIAN TOTAL,AUST,2009-06-01,159829.373
1,0,AUSTRALIAN TOTAL,AUST,2009-07-01,161207.973
1,0,AUSTRALIAN TOTAL,AUST,2009-08-01,163478.542
1,0,AUSTRALIAN TOTAL,AUST,2009-09-01,165546.09
1,0,AUSTRALIAN TOTAL,AUST,2009-10-01,167352.642
1,0,AUSTRALIAN TOTAL,AUST,2009-11-01,169518.279
1,0,AUSTRALIAN TOTAL,AUST,2009-12-01,171881.105
1,0,AUSTRALIAN TOTAL,AUST,2010-01-01,174313.876
1,0,AUSTRALIAN TOTAL,AUST,2010-02-01,176841.423
1,0,AUSTRALIAN TOTAL,AUST,2010-03-01,179363.771
1,0,AUSTRALIAN TOTAL,AUST,2010-04-01,181961.779
1,0,AUSTRALIAN TOTAL,AUST,2010-05-01,184362.243
1,0,AUSTRALIAN TOTAL,AUST,2010-06-01,186875.564
1,0,AUSTRALIAN TOTAL,AUST,2010-07-01,190047.266
1,0,AUSTRALIAN TOTAL,AUST,2010-08-01,194142.154
1,0,AUSTRALIAN TOTAL,AUST,2010-09-01,199031.811
1,0,AUSTRALIAN TOTAL,AUST,2010-10-01,203726.215
1,0,AUSTRALIAN TOTAL,AUST,2010-11-01,207394.785
