level,anzsco_code,anzsco_title,northern_australia,date,vacancies
0,0,Total,Northern Australia,2026-07-01,13854
1,1,MANAGERS,Northern Australia,2026-07-01,1247
2,11,"Chief Executives, Managing Directors & Legislators",Northern Australia,2026-07-01,49
2,12,Farmers and Farm Managers,Northern Australia,2026-07-01,8
2,14,"Hospitality, Retail and Service Managers",Northern Australia,2026-07-01,448
2,1A,Corporate Managers,Northern Australia,2026-07-01,309
2,1B,"Construction, Production and Distribution Managers",Northern Australia,2026-07-01,312
2,1C,"Health, Education, ICT and Other Managers",Northern Australia,2026-07-01,120
4,1111,Chief Executives and Managing Directors,Northern Australia,2026-07-01,18
4,1112,General Managers,Northern Australia,2026-07-01,31
4,1211,Aquaculture Farmers,Northern Australia,2026-07-01,0
4,1212,Crop Farmers,Northern Australia,2026-07-01,0
4,1213,Livestock Farmers,Northern Australia,2026-07-01,2
4,1214,Mixed Crop and Livestock Farmers,Northern Australia,2026-07-01,5
4,1311,Advertising and Sales Managers,Northern Australia,2026-07-01,121
4,1321,Corporate Services Managers,Northern Australia,2026-07-01,27
4,1322,Finance Managers,Northern Australia,2026-07-01,25
4,1323,Human Resource Managers,Northern Australia,2026-07-01,31
4,1324,Policy and Planning Managers,Northern Australia,2026-07-01,101
4,1325,Research and Development Managers,Northern Australia,2026-07-01,4
4,1331,Construction Managers,Northern Australia,2026-07-01,187
4,1332,Engineering Managers,Northern Australia,2026-07-01,20
4,1333,"Importers, Exporters and Wholesalers",Northern Australia,2026-07-01,1
4,1334,Manufacturers,Northern Australia,2026-07-01,3
4,1335,Production Managers,Northern Australia,2026-07-01,85
4,1336,"Supply, Distribution and Procurement Managers",Northern Australia,2026-07-01,16
4,1341,Child Care Centre Managers,Northern Australia,2026-07-01,27
4,1342,Health and Welfare Services Managers,Northern Australia,2026-07-01,33
4,1343,School Principals,Northern Australia,2026-07-01,12
4,1344,Other Education Managers,Northern Australia,2026-07-01,5
4,1351,ICT Managers,Northern Australia,2026-07-01,17
4,1399,Other Specialist Managers,Northern Australia,2026-07-01,26
4,1411,Cafe and Restaurant Managers,Northern Australia,2026-07-01,26
4,1412,Caravan Park and Camping Ground Managers,Northern Australia,2026-07-01,0
4,1413,Hotel and Motel Managers,Northern Australia,2026-07-01,63
4,1414,Licensed Club Managers,Northern Australia,2026-07-01,9
4,1419,Other Accommodation and Hospitality Managers,Northern Australia,2026-07-01,8
4,1421,Retail Managers,Northern Australia,2026-07-01,202
4,1491,"Amusement, Fitness and Sports Centre Managers",Northern Australia,2026-07-01,17
4,1492,Call or Contact Centre and Customer Service Managers,Northern Australia,2026-07-01,36
4,1493,Conference and Event Organisers,Northern Australia,2026-07-01,19
4,1494,Transport Services Managers,Northern Australia,2026-07-01,9
4,1499,"Other Hospitality, Retail and Service Managers",Northern Australia,2026-07-01,60
1,2,PROFESSIONALS,Northern Australia,2026-07-01,3341
2,21,Arts and Media Professionals,Northern Australia,2026-07-01,70
2,24,Education Professionals,Northern Australia,2026-07-01,221
2,26,ICT Professionals,Northern Australia,2026-07-01,69
2,27,"Legal, Social and Welfare Professionals",Northern Australia,2026-07-01,562
2,2A,"Business, Finance and Human Resource Professionals",Northern Australia,2026-07-01,312
2,2B,Information Professionals,Northern Australia,2026-07-01,70
2,2C,"Sales, Marketing & Public Relations Professionals",Northern Australia,2026-07-01,51
2,2D,"Transport and Design Professionals, and Architects",Northern Australia,2026-07-01,94
2,2E,Engineers,Northern Australia,2026-07-01,396
2,2F,Science Professionals and Veterinarians,Northern Australia,2026-07-01,108
2,2G,Health Diagnostic and Therapy Professionals,Northern Australia,2026-07-01,484
2,2H,Medical Practitioners and Nurses,Northern Australia,2026-07-01,905
