level,anzsco_code,anzsco_title,jsa_remoteness,date,vacancies
0,0,Total,Regional,2026-07-01,60043
1,1,MANAGERS,Regional,2026-07-01,5410
2,11,"Chief Executives, Managing Directors & Legislators",Regional,2026-07-01,211
2,12,Farmers and Farm Managers,Regional,2026-07-01,130
2,14,"Hospitality, Retail and Service Managers",Regional,2026-07-01,2068
2,1A,Corporate Managers,Regional,2026-07-01,1349
2,1B,"Construction, Production and Distribution Managers",Regional,2026-07-01,1158
2,1C,"Health, Education, ICT and Other Managers",Regional,2026-07-01,493
4,1111,Chief Executives and Managing Directors,Regional,2026-07-01,68
4,1112,General Managers,Regional,2026-07-01,144
4,1211,Aquaculture Farmers,Regional,2026-07-01,2
4,1212,Crop Farmers,Regional,2026-07-01,12
4,1213,Livestock Farmers,Regional,2026-07-01,49
4,1214,Mixed Crop and Livestock Farmers,Regional,2026-07-01,67
4,1311,Advertising and Sales Managers,Regional,2026-07-01,612
4,1321,Corporate Services Managers,Regional,2026-07-01,131
4,1322,Finance Managers,Regional,2026-07-01,129
4,1323,Human Resource Managers,Regional,2026-07-01,102
4,1324,Policy and Planning Managers,Regional,2026-07-01,365
4,1325,Research and Development Managers,Regional,2026-07-01,11
4,1331,Construction Managers,Regional,2026-07-01,677
4,1332,Engineering Managers,Regional,2026-07-01,49
4,1333,"Importers, Exporters and Wholesalers",Regional,2026-07-01,8
4,1334,Manufacturers,Regional,2026-07-01,10
4,1335,Production Managers,Regional,2026-07-01,332
4,1336,"Supply, Distribution and Procurement Managers",Regional,2026-07-01,81
4,1341,Child Care Centre Managers,Regional,2026-07-01,113
4,1342,Health and Welfare Services Managers,Regional,2026-07-01,123
4,1343,School Principals,Regional,2026-07-01,61
4,1344,Other Education Managers,Regional,2026-07-01,18
4,1351,ICT Managers,Regional,2026-07-01,67
4,1399,Other Specialist Managers,Regional,2026-07-01,111
4,1411,Cafe and Restaurant Managers,Regional,2026-07-01,159
4,1412,Caravan Park and Camping Ground Managers,Regional,2026-07-01,5
4,1413,Hotel and Motel Managers,Regional,2026-07-01,227
4,1414,Licensed Club Managers,Regional,2026-07-01,41
4,1419,Other Accommodation and Hospitality Managers,Regional,2026-07-01,43
4,1421,Retail Managers,Regional,2026-07-01,1027
4,1491,"Amusement, Fitness and Sports Centre Managers",Regional,2026-07-01,76
4,1492,Call or Contact Centre and Customer Service Managers,Regional,2026-07-01,134
4,1493,Conference and Event Organisers,Regional,2026-07-01,85
4,1494,Transport Services Managers,Regional,2026-07-01,41
4,1499,"Other Hospitality, Retail and Service Managers",Regional,2026-07-01,231
1,2,PROFESSIONALS,Regional,2026-07-01,17165
2,21,Arts and Media Professionals,Regional,2026-07-01,245
2,24,Education Professionals,Regional,2026-07-01,927
2,26,ICT Professionals,Regional,2026-07-01,387
2,27,"Legal, Social and Welfare Professionals",Regional,2026-07-01,3481
2,2A,"Business, Finance and Human Resource Professionals",Regional,2026-07-01,1385
2,2B,Information Professionals,Regional,2026-07-01,276
2,2C,"Sales, Marketing & Public Relations Professionals",Regional,2026-07-01,328
2,2D,"Transport and Design Professionals, and Architects",Regional,2026-07-01,341
2,2E,Engineers,Regional,2026-07-01,1139
2,2F,Science Professionals and Veterinarians,Regional,2026-07-01,423
2,2G,Health Diagnostic and Therapy Professionals,Regional,2026-07-01,2284
2,2H,Medical Practitioners and Nurses,Regional,2026-07-01,5951
4,2111,"Actors, Dancers and Other Entertainers",Regional,2026-07-01,69
4,2112,Music Professionals,Regional,2026-07-01,4
4,2113,Photographers,Regional,2026-07-01,3
4,2114,Visual Arts and Crafts Professionals,Regional,2026-07-01,2
4,2121,"Artistic Directors, and Media Producers and Presenters",Regional,2026-07-01,4
4,2122,"Authors, and Book and Script Editors",Regional,2026-07-01,17
4,2123,"Film, Television, Radio and Stage Directors",Regional,2026-07-01,9
4,2124,Journalists and Other Writers,Regional,2026-07-01,135
4,2211,Accountants,Regional,2026-07-01,524
4,2212,"Auditors, Company Secretaries and Corporate Treasurers",Regional,2026-07-01,81
4,2221,Financial Brokers,Regional,2026-07-01,38
4,2222,Financial Dealers,Regional,2026-07-01,7
4,2223,Financial Investment Advisers and Managers,Regional,2026-07-01,98
4,2231,Human Resource Professionals,Regional,2026-07-01,429
4,2232,ICT Trainers,Regional,2026-07-01,1
4,2233,Training and Development Professionals,Regional,2026-07-01,207
4,2241,"Actuaries, Mathematicians and Statisticians",Regional,2026-07-01,10
4,2242,"Archivists, Curators and Records Managers",Regional,2026-07-01,20
4,2243,Economists,Regional,2026-07-01,2
4,2244,Intelligence and Policy Analysts,Regional,2026-07-01,72
4,2245,Land Economists and Valuers,Regional,2026-07-01,18
4,2246,Librarians,Regional,2026-07-01,22
4,2247,Management and Organisation Analysts,Regional,2026-07-01,67
4,2249,Other Information and Organisation Professionals,Regional,2026-07-01,66
4,2251,Advertising and Marketing Professionals,Regional,2026-07-01,185
4,2252,ICT Sales Professionals,Regional,2026-07-01,1
4,2253,Public Relations Professionals,Regional,2026-07-01,109
4,2254,Technical Sales Representatives,Regional,2026-07-01,32
4,2311,Air Transport Professionals,Regional,2026-07-01,35
4,2312,Marine Transport Professionals,Regional,2026-07-01,29
4,2321,Architects and Landscape Architects,Regional,2026-07-01,25
4,2322,Surveyors and Spatial Scientists,Regional,2026-07-01,121
4,2323,"Fashion, Industrial and Jewellery Designers",Regional,2026-07-01,10
4,2324,"Graphic and Web Designers, and Illustrators",Regional,2026-07-01,48
4,2325,Interior Designers,Regional,2026-07-01,11
4,2326,Urban and Regional Planners,Regional,2026-07-01,62
4,2331,Chemical and Materials Engineers,Regional,2026-07-01,6
4,2332,Civil Engineering Professionals,Regional,2026-07-01,480
4,2333,Electrical Engineers,Regional,2026-07-01,85
4,2334,Electronics Engineers,Regional,2026-07-01,7
4,2335,"Industrial, Mechanical and Production Engineers",Regional,2026-07-01,156
4,2336,Mining Engineers,Regional,2026-07-01,350
4,2339,Other Engineering Professionals,Regional,2026-07-01,55
4,2341,Agricultural and Forestry Scientists,Regional,2026-07-01,25
4,2342,"Chemists, and Food and Wine Scientists",Regional,2026-07-01,27
4,2343,Environmental Scientists,Regional,2026-07-01,177
4,2344,Geologists and Geophysicists,Regional,2026-07-01,71
4,2345,Life Scientists,Regional,2026-07-01,53
4,2346,Medical Laboratory Scientists,Regional,2026-07-01,20
4,2347,Veterinarians,Regional,2026-07-01,31
4,2349,Other Natural and Physical Science Professionals,Regional,2026-07-01,19
4,2411,Early Childhood (Pre-primary School) Teachers,Regional,2026-07-01,438
4,2412,Primary School Teachers,Regional,2026-07-01,145
4,2413,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),Regional,2026-07-01,1
4,2414,Secondary School Teachers,Regional,2026-07-01,192
4,2415,Special Education Teachers,Regional,2026-07-01,12
4,2421,University Lecturers and Tutors,Regional,2026-07-01,86
4,2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),Regional,2026-07-01,17
4,2491,Education Advisers and Reviewers,Regional,2026-07-01,14
