anzsco_code,anzsco_title,state,date,vacancies
0,Australia Total,AUST,2026-07-01,212327.33333
1111,Chief Executives and Managing Directors,AUST,2026-07-01,369.33333
1112,General Managers,AUST,2026-07-01,719.66667
1211,Aquaculture Farmers,AUST,2026-07-01,2.66667
1212,Crop Farmers,AUST,2026-07-01,20
1213,Livestock Farmers,AUST,2026-07-01,60.33333
1214,Mixed Crop and Livestock Farmers,AUST,2026-07-01,114
1311,Advertising and Sales Managers,AUST,2026-07-01,4703.66667
1321,Corporate Services Managers,AUST,2026-07-01,678
1322,Finance Managers,AUST,2026-07-01,934
1323,Human Resource Managers,AUST,2026-07-01,594.66667
1324,Policy and Planning Managers,AUST,2026-07-01,1697
1325,Research and Development Managers,AUST,2026-07-01,119
1331,Construction Managers,AUST,2026-07-01,3938
1332,Engineering Managers,AUST,2026-07-01,344
1333,"Importers, Exporters and Wholesalers",AUST,2026-07-01,29
1334,Manufacturers,AUST,2026-07-01,37.66667
1335,Production Managers,AUST,2026-07-01,1229
1336,"Supply, Distribution and Procurement Managers",AUST,2026-07-01,505.66667
1341,Child Care Centre Managers,AUST,2026-07-01,308
1342,Health and Welfare Services Managers,AUST,2026-07-01,399.33333
1343,School Principals,AUST,2026-07-01,159.33333
1344,Other Education Managers,AUST,2026-07-01,112.33333
1351,ICT Managers,AUST,2026-07-01,521.33333
1399,Other Specialist Managers,AUST,2026-07-01,729
1411,Cafe and Restaurant Managers,AUST,2026-07-01,607.33333
1412,Caravan Park and Camping Ground Managers,AUST,2026-07-01,6.66667
1413,Hotel and Motel Managers,AUST,2026-07-01,604.33333
1414,Licensed Club Managers,AUST,2026-07-01,147
1419,Other Accommodation and Hospitality Managers,AUST,2026-07-01,103.66667
1421,Retail Managers,AUST,2026-07-01,3636
1491,"Amusement, Fitness and Sports Centre Managers",AUST,2026-07-01,277.66667
1492,Call or Contact Centre and Customer Service Managers,AUST,2026-07-01,584.66667
1493,Conference and Event Organisers,AUST,2026-07-01,433.33333
1494,Transport Services Managers,AUST,2026-07-01,217
1499,"Other Hospitality, Retail and Service Managers",AUST,2026-07-01,943.33333
2111,"Actors, Dancers and Other Entertainers",AUST,2026-07-01,297.33333
2112,Music Professionals,AUST,2026-07-01,10.33333
2113,Photographers,AUST,2026-07-01,29
2114,Visual Arts and Crafts Professionals,AUST,2026-07-01,4.33333
2121,"Artistic Directors, and Media Producers and Presenters",AUST,2026-07-01,13.33333
