level,title,state,skill_level,date,vacancies
0,AUSTRALIAN TOTAL,AUST,0,2026-07-01,210058.453
2,Australia skill level 1,AUST,1,2026-07-01,77556.196
2,Australia skill level 2,AUST,2,2026-07-01,23965.304
2,Australia skill level 3,AUST,3,2026-07-01,32771.445
2,Australia skill level 4,AUST,4,2026-07-01,52953.166
2,Australia skill level 5,AUST,5,2026-07-01,24034.582
1,NSW TOTAL,NSW,0,2026-07-01,61684.179
2,NSW skill level 1,NSW,1,2026-07-01,25458.201
2,NSW skill level 2,NSW,2,2026-07-01,6862.925
2,NSW skill level 3,NSW,3,2026-07-01,8752.413
2,NSW skill level 4,NSW,4,2026-07-01,14543.689
2,NSW skill level 5,NSW,5,2026-07-01,6513.39
1,VIC TOTAL,VIC,0,2026-07-01,45628.079
2,VIC skill level 1,VIC,1,2026-07-01,18045.456
2,VIC skill level 2,VIC,2,2026-07-01,5348.29
2,VIC skill level 3,VIC,3,2026-07-01,6319.568
2,VIC skill level 4,VIC,4,2026-07-01,11226.037
2,VIC skill level 5,VIC,5,2026-07-01,4802.97
1,QLD TOTAL,QLD,0,2026-07-01,50811.675
2,QLD skill level 1,QLD,1,2026-07-01,16328.519
2,QLD skill level 2,QLD,2,2026-07-01,5753.032
2,QLD skill level 3,QLD,3,2026-07-01,8604.476
2,QLD skill level 4,QLD,4,2026-07-01,13533.795
2,QLD skill level 5,QLD,5,2026-07-01,6483.885
1,SA TOTAL,SA,0,2026-07-01,14397.178
2,SA skill level 1,SA,1,2026-07-01,4802.387
2,SA skill level 2,SA,2,2026-07-01,1686.892
2,SA skill level 3,SA,3,2026-07-01,2082.237
2,SA skill level 4,SA,4,2026-07-01,3860.048
2,SA skill level 5,SA,5,2026-07-01,1894.643
1,WA TOTAL,WA,0,2026-07-01,27593.956
2,WA skill level 1,WA,1,2026-07-01,8549.624
2,WA skill level 2,WA,2,2026-07-01,3171.345
2,WA skill level 3,WA,3,2026-07-01,5551.028
2,WA skill level 4,WA,4,2026-07-01,7374.732
2,WA skill level 5,WA,5,2026-07-01,3021.448
1,TAS TOTAL,TAS,0,2026-07-01,3357.042
2,TAS skill level 1,TAS,1,2026-07-01,1306.258
2,TAS skill level 2,TAS,2,2026-07-01,354.462
2,TAS skill level 3,TAS,3,2026-07-01,408.216
2,TAS skill level 4,TAS,4,2026-07-01,848.215
2,TAS skill level 5,TAS,5,2026-07-01,438.871
1,NT TOTAL,NT,0,2026-07-01,2703.875
2,NT skill level 1,NT,1,2026-07-01,986.771
2,NT skill level 2,NT,2,2026-07-01,317.932
2,NT skill level 3,NT,3,2026-07-01,445.714
2,NT skill level 4,NT,4,2026-07-01,647.202
2,NT skill level 5,NT,5,2026-07-01,303.052
1,ACT TOTAL,ACT,0,2026-07-01,4417.758
2,ACT skill level 1,ACT,1,2026-07-01,2157.359
2,ACT skill level 2,ACT,2,2026-07-01,499.96
2,ACT skill level 3,ACT,3,2026-07-01,481.176
2,ACT skill level 4,ACT,4,2026-07-01,934.271
2,ACT skill level 5,ACT,5,2026-07-01,350.948
