major_code,major_name,narrow_field_code,narrow_field_name,broad_field_code,broad_field_name,data_source
010101,Mathematics,0101,Mathematical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010103,Statistics,0101,Mathematical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010199,"Mathematical Sciences, n.e.c.",0101,Mathematical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010301,Physics,0103,Physics and Astronomy,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010303,Astronomy,0103,Physics and Astronomy,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010501,Organic Chemistry,0105,Chemical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010503,Inorganic Chemistry,0105,Chemical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010599,"Chemical Sciences, n.e.c.",0105,Chemical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010701,Atmospheric Sciences,0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010703,Geology,0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010705,Geophysics,0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010707,Geochemistry,0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010709,Soil Science,0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010711,Hydrology,0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010713,Oceanography,0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010799,"Earth Sciences, n.e.c.",0107,Earth Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010901,Biochemistry and Cell Biology,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010903,Botany,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010905,Ecology and Evolution,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010907,Marine Science,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010909,Genetics,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010911,Microbiology,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010913,Human Biology,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010915,Zoology,0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
010999,"Biological Sciences, n.e.c.",0109,Biological Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
019901,Medical Science,0199,Other Natural and Physical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
019903,Forensic Science,0199,Other Natural and Physical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
019905,Food Science and Biotechnology,0199,Other Natural and Physical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
019907,Pharmacology,0199,Other Natural and Physical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
019909,Laboratory Technology,0199,Other Natural and Physical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
019999,"Natural and Physical Sciences, n.e.c.",0199,Other Natural and Physical Sciences,01,NATURAL AND PHYSICAL SCIENCES,ASCED 2001
020101,Formal Language Theory,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020103,Programming,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020105,Computational Theory,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020107,Compiler Construction,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020109,Algorithms,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020111,Data Structures,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020113,Networks and Communications,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020115,Computer Graphics,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020117,Operating Systems,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020119,Artificial Intelligence,0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020199,"Computer Science, n.e.c.",0201,Computer Science,02,INFORMATION TECHNOLOGY,ASCED 2001
020301,Conceptual Modelling,0203,Information Systems,02,INFORMATION TECHNOLOGY,ASCED 2001
020303,Database Management,0203,Information Systems,02,INFORMATION TECHNOLOGY,ASCED 2001
020305,Systems Analysis and Design,0203,Information Systems,02,INFORMATION TECHNOLOGY,ASCED 2001
020307,Decision Support Systems,0203,Information Systems,02,INFORMATION TECHNOLOGY,ASCED 2001
020399,"Information Systems, n.e.c.",0203,Information Systems,02,INFORMATION TECHNOLOGY,ASCED 2001
029901,Security Science,0299,Other Information Technology,02,INFORMATION TECHNOLOGY,ASCED 2001
029999,"Information Technology, n.e.c.",0299,Other Information Technology,02,INFORMATION TECHNOLOGY,ASCED 2001
030101,Manufacturing Engineering,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030103,Printing,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030105,Textile Making,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030107,Garment Making,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030109,Footwear Making,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030111,Wood Machining and Turning,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030113,Cabinet Making,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030115,Furniture Upholstery and Renovation,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030117,Furniture Polishing,0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030199,"Manufacturing Engineering and Technology, n.e.c.",0301,Manufacturing Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030301,Chemical Engineering,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030303,Mining Engineering,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030305,Materials Engineering,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030307,Food Processing Technology,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
030399,"Process and Resources Engineering, n.e.c.",0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,ASCED 2001
