anzsco_level,nfd_indicator,anzsco_code,anzsco_title,skill_level,date,employment_thousands
4,N,1111,Chief Executives and Managing Directors,1,1986-08-01,23.0844493448233
4,N,1111,Chief Executives and Managing Directors,1,1986-11-01,23.0248793604936
4,N,1111,Chief Executives and Managing Directors,1,1987-02-01,22.9660845442495
4,N,1111,Chief Executives and Managing Directors,1,1987-05-01,22.9095735705224
4,N,1111,Chief Executives and Managing Directors,1,1987-08-01,22.8567376798889
4,N,1111,Chief Executives and Managing Directors,1,1987-11-01,22.8081009633968
4,N,1111,Chief Executives and Managing Directors,1,1988-02-01,22.7626972478428
4,N,1111,Chief Executives and Managing Directors,1,1988-05-01,22.7193638606892
4,N,1111,Chief Executives and Managing Directors,1,1988-08-01,22.6771770003213
4,N,1111,Chief Executives and Managing Directors,1,1988-11-01,22.6349998580809
4,N,1111,Chief Executives and Managing Directors,1,1989-02-01,22.5902424281953
4,N,1111,Chief Executives and Managing Directors,1,1989-05-01,22.540144954443
4,N,1111,Chief Executives and Managing Directors,1,1989-08-01,22.4821633458487
4,N,1111,Chief Executives and Managing Directors,1,1989-11-01,22.415292391114
4,N,1111,Chief Executives and Managing Directors,1,1990-02-01,22.3397163249272
4,N,1111,Chief Executives and Managing Directors,1,1990-05-01,22.2570879249369
4,N,1111,Chief Executives and Managing Directors,1,1990-08-01,22.1693571069051
4,N,1111,Chief Executives and Managing Directors,1,1990-11-01,22.0787321400081
4,N,1111,Chief Executives and Managing Directors,1,1991-02-01,21.9895057355449
4,N,1111,Chief Executives and Managing Directors,1,1991-05-01,21.9063741914979
4,N,1111,Chief Executives and Managing Directors,1,1991-08-01,21.8340882247713
4,N,1111,Chief Executives and Managing Directors,1,1991-11-01,21.7763618342252
4,N,1111,Chief Executives and Managing Directors,1,1992-02-01,21.7354705791101
4,N,1111,Chief Executives and Managing Directors,1,1992-05-01,21.7125844863682
4,N,1111,Chief Executives and Managing Directors,1,1992-08-01,21.7096038756436
4,N,1111,Chief Executives and Managing Directors,1,1992-11-01,21.7273630568566
4,N,1111,Chief Executives and Managing Directors,1,1993-02-01,21.766014225033
4,N,1111,Chief Executives and Managing Directors,1,1993-05-01,21.8234853334244
4,N,1111,Chief Executives and Managing Directors,1,1993-08-01,21.8972734616318
4,N,1111,Chief Executives and Managing Directors,1,1993-11-01,21.983005789458
4,N,1111,Chief Executives and Managing Directors,1,1994-02-01,22.0746639332395
4,N,1111,Chief Executives and Managing Directors,1,1994-05-01,22.1652918532597
4,N,1111,Chief Executives and Managing Directors,1,1994-08-01,22.2463623711307
4,N,1111,Chief Executives and Managing Directors,1,1994-11-01,22.3085165826804
4,N,1111,Chief Executives and Managing Directors,1,1995-02-01,22.3427485252853
