onet_soc_code,title,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),4.46,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,5.15,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,32.29,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,45.91,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,3.94,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.55,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,4.92,08/2023,Incumbent,O*NET
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,2.78,08/2023,Incumbent,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,18.52,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),7,Post-Baccalaureate Certificate,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,74.07,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),9,Post-Master's Certificate,7.41,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),11,Doctoral Degree,0.0,08/2021,Occupational Expert,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),12,Post-Doctoral Training,0.0,08/2021,Occupational Expert,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,10.35,08/2023,Incumbent,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),28.76,08/2023,Incumbent,O*NET
